,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,32,Asa24-1,SeibuBus,2019-09-05T10:04:13+09:00,None,35.81435794127011,139.58666913128286,Asakadaieki.100087.2
1,32,Asa24-1,SeibuBus,2019-09-05T10:05:03+09:00,Asakadaieki.100087.2,35.81391856854291,139.5859167238732,Asakakouseibyouin.100188.2
2,32,Asa24-1,SeibuBus,2019-09-05T10:05:28+09:00,Asakadaieki.100087.2,35.81212560959047,139.58812587368016,Asakakouseibyouin.100188.2
3,32,Asa24-1,SeibuBus,2019-09-05T10:05:53+09:00,Asakadaieki.100087.2,35.811172978892785,139.5876765631599,Asakakouseibyouin.100188.2
4,32,Asa24-1,SeibuBus,2019-09-05T10:06:18+09:00,Asakadaieki.100087.2,35.81013417516516,139.58635522453687,Asakakouseibyouin.100188.2
5,32,Asa24-1,SeibuBus,2019-09-05T10:07:16+09:00,Asakakouseibyouin.100188.2,35.80906542951656,139.58520438028722,Benzaisakashita.100186.2
6,32,Asa24-1,SeibuBus,2019-09-05T10:07:41+09:00,Asakakouseibyouin.100188.2,35.80816434908135,139.58445525662228,Benzaisakashita.100186.2
7,32,Asa24-1,SeibuBus,2019-09-05T10:08:31+09:00,Asakakouseibyouin.100188.2,35.807266884939686,139.58329762334824,Benzaisakashita.100186.2
8,32,Asa24-1,SeibuBus,2019-09-05T10:08:47+09:00,Benzaisakashita.100186.2,35.80586680571404,139.58281140377426,Senzuisanchoume.100335.2
9,32,Asa24-1,SeibuBus,2019-09-05T10:09:28+09:00,Benzaisakashita.100186.2,35.804343605282924,139.5820818429222,Senzuisanchoume.100335.2
10,32,Asa24-1,SeibuBus,2019-09-05T10:09:54+09:00,Senzuisanchoume.100335.2,35.80409697625406,139.5818076468354,Nishiasakakouminkaniriguchi.100334.2
11,32,Asa24-1,SeibuBus,2019-09-05T10:10:31+09:00,Senzuisanchoume.100335.2,35.804324313557515,139.58144952680584,Nishiasakakouminkaniriguchi.100334.2
12,32,Asa24-1,SeibuBus,2019-09-05T10:10:45+09:00,Nishiasakakouminkaniriguchi.100334.2,35.804686025979855,139.58116070967867,Senzuisakaue.100187.2
13,32,Asa24-1,SeibuBus,2019-09-05T10:11:30+09:00,Nishiasakakouminkaniriguchi.100334.2,35.80518792436762,139.57999061278917,Senzuisakaue.100187.2
14,32,Asa24-1,SeibuBus,2019-09-05T10:11:56+09:00,Nishiasakakouminkaniriguchi.100334.2,35.80526248219299,139.5794422728386,Senzuisakaue.100187.2
15,32,Asa24-1,SeibuBus,2019-09-05T10:12:22+09:00,Senzuisakaue.100187.2,35.80545000161939,139.57878214882658,Shimanoue.100082.2
16,32,Asa24-1,SeibuBus,2019-09-05T10:12:47+09:00,Senzuisakaue.100187.2,35.80544130044517,139.57877410219953,Shimanoue.100082.2
17,32,Asa24-1,SeibuBus,2019-09-05T10:13:12+09:00,Senzuisakaue.100187.2,35.8052823904348,139.57775875232312,Shimanoue.100082.2
18,32,Asa24-1,SeibuBus,2019-09-05T10:14:02+09:00,Senzuisakaue.100187.2,35.805387457405104,139.57650045270918,Shimanoue.100082.2
19,32,Asa24-1,SeibuBus,2019-09-05T10:14:29+09:00,Shimanoue.100082.2,35.79922633309589,139.57693786756317,Shimonoharairiguchi.100081.2
20,32,Asa24-1,SeibuBus,2019-09-05T10:15:03+09:00,Shimonoharairiguchi.100081.2,35.79921259628792,139.5737752830505,Nobidomesakaue.100078.2
21,32,Asa24-1,SeibuBus,2019-09-05T10:16:02+09:00,Shimonoharairiguchi.100081.2,35.80114693107241,139.56935251653294,Nobidomesakaue.100078.2
22,32,Asa24-1,SeibuBus,2019-09-05T10:16:27+09:00,Shimonoharairiguchi.100081.2,35.78808042845548,139.56134929695895,Nobidomesakaue.100078.2
23,32,Asa24-1,SeibuBus,2019-09-05T10:16:52+09:00,Shimonoharairiguchi.100081.2,35.78500578359202,139.56028756945034,Nobidomesakaue.100078.2
24,32,Asa24-1,SeibuBus,2019-09-05T10:17:17+09:00,Shimonoharairiguchi.100081.2,35.78172184227907,139.55791358797455,Nobidomesakaue.100078.2
25,32,Asa24-1,SeibuBus,2019-09-05T10:17:43+09:00,Shimonoharairiguchi.100081.2,35.784411738314475,139.55584365277866,Nobidomesakaue.100078.2
26,32,Asa24-1,SeibuBus,2019-09-05T10:18:27+09:00,Shimonoharairiguchi.100081.2,35.78337837130219,139.55494999999996,Nobidomesakaue.100078.2
