,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,27,Asa81,SeibuBus,2019-09-05T08:26:10+09:00,Sakaekouminkammae.30129.1,35.77785,139.577606,Niizasakae.30130.0
1,27,Asa81,SeibuBus,2019-09-05T08:27:00+09:00,Sakaekouminkammae.30129.1,35.777833,139.577589,Niizasakae.30130.0
2,27,Asa81,SeibuBus,2019-09-05T08:27:25+09:00,Sakaekouminkammae.30129.1,35.777833,139.577589,Niizasakae.30130.0
3,27,Asa81,SeibuBus,2019-09-05T08:27:50+09:00,Sakaekouminkammae.30129.1,35.777833,139.577589,Niizasakae.30130.0
4,27,Asa81,SeibuBus,2019-09-05T08:28:15+09:00,Sakaekouminkammae.30129.1,35.77781599999999,139.577572,Niizasakae.30130.0
5,27,Asa81,SeibuBus,2019-09-05T08:28:41+09:00,Sakaekouminkammae.30129.1,35.77781599999999,139.577554,Niizasakae.30130.0
6,27,Asa81,SeibuBus,2019-09-05T08:29:56+09:00,Sakaekouminkammae.30129.1,35.77781599999999,139.577572,Niizasakae.30130.0
7,27,Asa81,SeibuBus,2019-09-05T08:30:21+09:00,Sakaekouminkammae.30129.1,35.777833,139.577606,Niizasakae.30130.0
8,27,Asa81,SeibuBus,2019-09-05T08:30:58+09:00,Sakaekouminkammae.30129.1,35.777833,139.577589,Niizasakae.30130.0
9,27,Asa81,SeibuBus,2019-09-05T08:31:23+09:00,Sakaekouminkammae.30129.1,35.777833,139.577589,Niizasakae.30130.0
10,27,Asa81,SeibuBus,2019-09-05T08:31:49+09:00,Sakaekouminkammae.30129.1,35.777833,139.577624,Niizasakae.30130.0
11,27,Asa81,SeibuBus,2019-09-05T08:32:14+09:00,Sakaekouminkammae.30129.1,35.77781599999999,139.577624,Niizasakae.30130.0
12,27,Asa81,SeibuBus,2019-09-05T08:32:39+09:00,Sakaekouminkammae.30129.1,35.777833,139.577624,Niizasakae.30130.0
13,27,Asa81,SeibuBus,2019-09-05T08:33:29+09:00,Sakaekouminkammae.30129.1,35.77781599999999,139.577572,Niizasakae.30130.0
14,27,Asa81,SeibuBus,2019-09-05T08:34:19+09:00,Sakaekouminkammae.30129.1,35.777833,139.577624,Niizasakae.30130.0
15,27,Asa81,SeibuBus,2019-09-05T08:34:44+09:00,Sakaekouminkammae.30129.1,35.777833,139.577606,Niizasakae.30130.0
16,27,Asa81,SeibuBus,2019-09-05T08:35:09+09:00,Sakaekouminkammae.30129.1,35.777833,139.577606,Niizasakae.30130.0
17,27,Asa81,SeibuBus,2019-09-05T08:36:00+09:00,Sakaekouminkammae.30129.1,35.777833,139.577624,Niizasakae.30130.0
18,27,Asa81,SeibuBus,2019-09-05T08:36:29+09:00,Sakaekouminkammae.30129.1,35.777833,139.577606,Niizasakae.30130.0
19,27,Asa81,SeibuBus,2019-09-05T08:36:55+09:00,Sakaekouminkammae.30129.1,35.777833,139.577624,Niizasakae.30130.0
