,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,966,DoshidaJunkan,SeibuBus,2019-09-05T08:26:22+09:00,Asahichouminamichikukuminkan.20095.3,35.766687,139.625215,Hikarigaokakoukouka.20147.1
1,966,DoshidaJunkan,SeibuBus,2019-09-05T08:26:55+09:00,Hikarigaokakoukouka.20147.1,35.766687,139.62356599999998,Asahichouminami.20161.1
2,966,DoshidaJunkan,SeibuBus,2019-09-05T08:27:24+09:00,Asahichouminami.20161.1,35.76667,139.620701,Doshidaicchoume.30060.5
3,966,DoshidaJunkan,SeibuBus,2019-09-05T08:27:46+09:00,Asahichouminami.20161.1,35.76672199999999,139.620041,Doshidaicchoume.30060.5
4,966,DoshidaJunkan,SeibuBus,2019-09-05T08:28:31+09:00,Asahichouminami.20161.1,35.766462,139.617072,Doshidaicchoume.30060.5
5,966,DoshidaJunkan,SeibuBus,2019-09-05T08:29:02+09:00,Doshidaicchoume.30060.5,35.766357,139.616673,Doshidahachimammae.30057.5
6,966,DoshidaJunkan,SeibuBus,2019-09-05T08:29:56+09:00,Doshidaicchoume.30060.5,35.76564600000001,139.614486,Doshidahachimammae.30057.5
7,966,DoshidaJunkan,SeibuBus,2019-09-05T08:30:23+09:00,Doshidahachimammae.30057.5,35.765576,139.61443400000002,Doshidanichoume.30055.5
8,966,DoshidaJunkan,SeibuBus,2019-09-05T08:30:48+09:00,Doshidahachimammae.30057.5,35.765142,139.613305,Doshidanichoume.30055.5
9,966,DoshidaJunkan,SeibuBus,2019-09-05T08:31:24+09:00,Doshidahachimammae.30057.5,35.764118,139.610371,Doshidanichoume.30055.5
10,966,DoshidaJunkan,SeibuBus,2019-09-05T08:32:00+09:00,Doshidanichoume.30055.5,35.763944,139.610007,Doshidajizou.20151.1
11,966,DoshidaJunkan,SeibuBus,2019-09-05T08:32:25+09:00,Doshidanichoume.30055.5,35.763805,139.609816,Doshidajizou.20151.1
12,966,DoshidaJunkan,SeibuBus,2019-09-05T08:32:50+09:00,Doshidanichoume.30055.5,35.763753,139.609746,Doshidajizou.20151.1
13,966,DoshidaJunkan,SeibuBus,2019-09-05T08:33:15+09:00,Doshidanichoume.30055.5,35.76325,139.609538,Doshidajizou.20151.1
14,966,DoshidaJunkan,SeibuBus,2019-09-05T08:34:09+09:00,Doshidajizou.20151.1,35.762121,139.612559,Takamatsuyouchiennishi.20152.1
15,966,DoshidaJunkan,SeibuBus,2019-09-05T08:35:01+09:00,Takamatsuyouchiennishi.20152.1,35.76141,139.614399,Ikoinomoriiriguchi.20133.1
16,966,DoshidaJunkan,SeibuBus,2019-09-05T08:35:33+09:00,Takamatsuyouchiennishi.20152.1,35.760455,139.616951,Ikoinomoriiriguchi.20133.1
17,966,DoshidaJunkan,SeibuBus,2019-09-05T08:35:57+09:00,Ikoinomoriiriguchi.20133.1,35.76035,139.617072,Takamatsurokuchoume.20134.1
18,966,DoshidaJunkan,SeibuBus,2019-09-05T08:36:29+09:00,Ikoinomoriiriguchi.20133.1,35.759603999999996,139.619104,Takamatsurokuchoume.20134.1
19,966,DoshidaJunkan,SeibuBus,2019-09-05T08:36:56+09:00,Takamatsurokuchoume.20134.1,35.759413,139.619625,Hikarigaokaima.20089.3
20,966,DoshidaJunkan,SeibuBus,2019-09-05T08:37:21+09:00,Takamatsurokuchoume.20134.1,35.759344,139.619729,Hikarigaokaima.20089.3
