,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,940,Hon53,SeibuBus,2019-09-05T08:26:17+09:00,Asahichounichoume.130269.1,35.901696,139.476726,Arajukumachi.130102.1
1,940,Hon53,SeibuBus,2019-09-05T08:26:42+09:00,Asahichounichoume.130269.1,35.901696,139.476744,Arajukumachi.130102.1
2,940,Hon53,SeibuBus,2019-09-05T08:27:17+09:00,Arajukumachi.130102.1,35.902113,139.476987,Wesutakawagoemae.130101.1
3,940,Hon53,SeibuBus,2019-09-05T08:27:42+09:00,Arajukumachi.130102.1,35.902198999999996,139.477091,Wesutakawagoemae.130101.1
4,940,Hon53,SeibuBus,2019-09-05T08:28:32+09:00,Arajukumachi.130102.1,35.902199,139.477074,Wesutakawagoemae.130101.1
5,940,Hon53,SeibuBus,2019-09-05T08:28:57+09:00,Arajukumachi.130102.1,35.902198999999996,139.477056,Wesutakawagoemae.130101.1
6,940,Hon53,SeibuBus,2019-09-05T08:29:54+09:00,Arajukumachi.130102.1,35.905099,139.478879,Wesutakawagoemae.130101.1
7,940,Hon53,SeibuBus,2019-09-05T08:30:12+09:00,Wesutakawagoemae.130101.1,35.905099,139.478896,Kawagoeekinishiguchi.130065.5
8,940,Hon53,SeibuBus,2019-09-05T08:31:03+09:00,Wesutakawagoemae.130101.1,35.905949,139.480407,Kawagoeekinishiguchi.130065.5
9,940,Hon53,SeibuBus,2019-09-05T08:31:28+09:00,Wesutakawagoemae.130101.1,35.906436,139.48136200000002,Kawagoeekinishiguchi.130065.5
10,940,Hon53,SeibuBus,2019-09-05T08:31:53+09:00,Wesutakawagoemae.130101.1,35.906661,139.481831,Kawagoeekinishiguchi.130065.5
11,940,Hon53,SeibuBus,2019-09-05T08:32:18+09:00,Wesutakawagoemae.130101.1,35.906436,139.481865,Kawagoeekinishiguchi.130065.5
12,940,Hon53,SeibuBus,2019-09-05T08:32:52+09:00,Wesutakawagoemae.130101.1,35.907061,139.481883,Kawagoeekinishiguchi.130065.5
13,940,Hon53,SeibuBus,2019-09-05T08:33:17+09:00,Wesutakawagoemae.130101.1,35.906991,139.482126,Kawagoeekinishiguchi.130065.5
14,940,Hon53,SeibuBus,2019-09-05T08:34:19+09:00,Kawagoeekinishiguchi.130065.5,35.907061,139.48216000000002,Sekishindoubyouin.130066.2
15,940,Hon53,SeibuBus,2019-09-05T08:34:44+09:00,Kawagoeekinishiguchi.130065.5,35.907199,139.482178,Sekishindoubyouin.130066.2
16,940,Hon53,SeibuBus,2019-09-05T08:35:09+09:00,Kawagoeekinishiguchi.130065.5,35.908085,139.481396,Sekishindoubyouin.130066.2
17,940,Hon53,SeibuBus,2019-09-05T08:35:59+09:00,Kawagoeekinishiguchi.130065.5,35.908189,139.481049,Sekishindoubyouin.130066.2
18,940,Hon53,SeibuBus,2019-09-05T08:36:24+09:00,Kawagoeekinishiguchi.130065.5,35.908241,139.48098000000002,Sekishindoubyouin.130066.2
19,940,Hon53,SeibuBus,2019-09-05T08:36:59+09:00,Kawagoeekinishiguchi.130065.5,35.90997700000001,139.479747,Sekishindoubyouin.130066.2
20,940,Hon53,SeibuBus,2019-09-05T08:37:26+09:00,Sekishindoubyouin.130066.2,35.91051500000001,139.479712,Wakitamachi.130006.2
21,940,Hon53,SeibuBus,2019-09-05T08:38:00+09:00,Wakitamachi.130006.2,35.912356,139.480997,Honkawagoeeki.130001.15
22,940,Hon53,SeibuBus,2019-09-05T08:39:02+09:00,Wakitamachi.130006.2,35.914248,139.482126,Honkawagoeeki.130001.15
23,940,Hon53,SeibuBus,2019-09-05T08:39:27+09:00,Wakitamachi.130006.2,35.914248,139.48214299999998,Honkawagoeeki.130001.15
24,940,Hon53,SeibuBus,2019-09-05T08:40:01+09:00,Wakitamachi.130006.2,35.914179,139.481952,Honkawagoeeki.130001.15
25,940,Hon53,SeibuBus,2019-09-05T08:40:26+09:00,Wakitamachi.130006.2,35.914161,139.48193500000002,Honkawagoeeki.130001.15
26,940,Hon53,SeibuBus,2019-09-05T08:40:51+09:00,Wakitamachi.130006.2,35.91419600000001,139.481987,Honkawagoeeki.130001.15
27,940,Hon53,SeibuBus,2019-09-05T08:41:16+09:00,Wakitamachi.130006.2,35.91421300000001,139.481969,Honkawagoeeki.130001.15
28,940,Hon53,SeibuBus,2019-09-05T08:41:41+09:00,Wakitamachi.130006.2,35.91421300000001,139.482039,Honkawagoeeki.130001.15
29,940,Hon53,SeibuBus,2019-09-05T08:42:56+09:00,Wakitamachi.130006.2,35.914213000000004,139.48184799999999,Honkawagoeeki.130001.15
30,940,Hon53,SeibuBus,2019-09-05T08:43:26+09:00,Wakitamachi.130006.2,35.914231,139.481952,Honkawagoeeki.130001.15
