,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,609,IriShi32-1,SeibuBus,2019-09-05T08:26:18+09:00,Minamimine.160141.2,35.814999,139.327637,Teradake.160136.2
1,609,IriShi32-1,SeibuBus,2019-09-05T08:26:54+09:00,Minamimine.160141.2,35.815867,139.330501,Teradake.160136.2
2,609,IriShi32-1,SeibuBus,2019-09-05T08:27:16+09:00,Teradake.160136.2,35.815919,139.330796,Nishimitsugi.160135.2
3,609,IriShi32-1,SeibuBus,2019-09-05T08:27:56+09:00,Teradake.160136.2,35.816404999999996,139.33505,Nishimitsugi.160135.2
4,609,IriShi32-1,SeibuBus,2019-09-05T08:28:24+09:00,Nishimitsugi.160135.2,35.81644,139.335397,Kamiyaganuki.160134.2
5,609,IriShi32-1,SeibuBus,2019-09-05T08:28:59+09:00,Nishimitsugi.160135.2,35.816752,139.33845300000002,Kamiyaganuki.160134.2
6,609,IriShi32-1,SeibuBus,2019-09-05T08:29:52+09:00,Kamiyaganuki.160134.2,35.817916,139.343696,Yaganukidera.160133.2
7,609,IriShi32-1,SeibuBus,2019-09-05T08:30:30+09:00,Kamiyaganuki.160134.2,35.818506,139.34591799999998,Yaganukidera.160133.2
8,609,IriShi32-1,SeibuBus,2019-09-05T08:31:00+09:00,Yaganukidera.160133.2,35.818749,139.346526,Nakagami.160132.2
9,609,IriShi32-1,SeibuBus,2019-09-05T08:31:25+09:00,Yaganukidera.160133.2,35.81992899999999,139.348869,Nakagami.160132.2
10,609,IriShi32-1,SeibuBus,2019-09-05T08:31:54+09:00,Nakagami.160132.2,35.820988,139.352012,Negishi.160131.2
11,609,IriShi32-1,SeibuBus,2019-09-05T08:32:27+09:00,Nakagami.160132.2,35.821422999999996,139.355779,Negishi.160131.2
12,609,IriShi32-1,SeibuBus,2019-09-05T08:32:56+09:00,Arakunishi.160130.2,35.821579,139.35650800000002,Pea-reirumairiguchi.160129.2
13,609,IriShi32-1,SeibuBus,2019-09-05T08:33:21+09:00,Negishi.160131.2,35.82204799999999,139.359164,Arakunishi.160130.2
14,609,IriShi32-1,SeibuBus,2019-09-05T08:34:14+09:00,Arakunishi.160130.2,35.822655,139.361526,Pea-reirumairiguchi.160129.2
15,609,IriShi32-1,SeibuBus,2019-09-05T08:34:52+09:00,Arakunishi.160130.2,35.82360999999999,139.364008,Pea-reirumairiguchi.160129.2
16,609,IriShi32-1,SeibuBus,2019-09-05T08:35:16+09:00,Katsurabashi.160128.2,35.823732,139.36435500000002,Koyata.160127.2
17,609,IriShi32-1,SeibuBus,2019-09-05T08:35:56+09:00,Pea-reirumairiguchi.160129.2,35.824895,139.36748,Katsurabashi.160128.2
18,609,IriShi32-1,SeibuBus,2019-09-05T08:36:24+09:00,Koyata.160127.2,35.82494699999999,139.367845,Sakashita.160126.2
19,609,IriShi32-1,SeibuBus,2019-09-05T08:36:49+09:00,Katsurabashi.160128.2,35.825554,139.370345,Koyata.160127.2
20,609,IriShi32-1,SeibuBus,2019-09-05T08:37:22+09:00,Katsurabashi.160128.2,35.82581500000001,139.373557,Koyata.160127.2
21,609,IriShi32-1,SeibuBus,2019-09-05T08:37:40+09:00,Koyata.160127.2,35.825798,139.373557,Sakashita.160126.2
22,609,IriShi32-1,SeibuBus,2019-09-05T08:38:57+09:00,Koyata.160127.2,35.826041,139.376057,Sakashita.160126.2
23,609,IriShi32-1,SeibuBus,2019-09-05T08:39:23+09:00,Koyata.160127.2,35.826926,139.378001,Sakashita.160126.2
24,609,IriShi32-1,SeibuBus,2019-09-05T08:40:01+09:00,Sakashita.160126.2,35.827516,139.37921699999998,Ougimachiya.160094.2
