,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,688,Ishi22,SeibuBus,2019-09-05T09:19:59+09:00,None,35.743063,139.606214,Shakujiikouenekiminamiguchi.30031.2
1,688,Ishi22,SeibuBus,2019-09-05T09:20:24+09:00,None,35.743063,139.606214,Shakujiikouenekiminamiguchi.30031.2
2,688,Ishi22,SeibuBus,2019-09-05T09:21:15+09:00,None,35.743063,139.606214,Shakujiikouenekiminamiguchi.30031.2
3,688,Ishi22,SeibuBus,2019-09-05T09:21:40+09:00,None,35.743063,139.606214,Shakujiikouenekiminamiguchi.30031.2
4,688,Ishi22,SeibuBus,2019-09-05T09:22:10+09:00,Shakujiikouenekiminamiguchi.30031.2,35.743063,139.606214,Shakujiikouen.30030.1
5,688,Ishi22,SeibuBus,2019-09-05T09:23:00+09:00,Shakujiikouenekiminamiguchi.30031.2,35.743098,139.60585,Shakujiikouen.30030.1
6,688,Ishi22,SeibuBus,2019-09-05T09:23:25+09:00,Shakujiikouenekiminamiguchi.30031.2,35.743063,139.605468,Shakujiikouen.30030.1
7,688,Ishi22,SeibuBus,2019-09-05T09:23:50+09:00,Shakujiikouenekiminamiguchi.30031.2,35.742924,139.60472099999998,Shakujiikouen.30030.1
8,688,Ishi22,SeibuBus,2019-09-05T09:24:15+09:00,Shakujiikouenekiminamiguchi.30031.2,35.742178,139.605103,Shakujiikouen.30030.1
9,688,Ishi22,SeibuBus,2019-09-05T09:24:40+09:00,Shakujiikouenekiminamiguchi.30031.2,35.741206,139.605711,Shakujiikouen.30030.1
10,688,Ishi22,SeibuBus,2019-09-05T09:25:30+09:00,Shakujiikouenekiminamiguchi.30031.2,35.740008,139.606353,Shakujiikouen.30030.1
11,688,Ishi22,SeibuBus,2019-09-05T09:26:01+09:00,Shakujiikouen.30030.1,35.738827,139.606006,Zenjouimmae.30029.1
12,688,Ishi22,SeibuBus,2019-09-05T09:26:33+09:00,Zenjouimmae.30029.1,35.737525,139.605381,Jeieitoukyouaoba.30024.1
13,688,Ishi22,SeibuBus,2019-09-05T09:26:54+09:00,Zenjouimmae.30029.1,35.737195,139.604964,Jeieitoukyouaoba.30024.1
14,688,Ishi22,SeibuBus,2019-09-05T09:27:19+09:00,Zenjouimmae.30029.1,35.736883,139.603384,Jeieitoukyouaoba.30024.1
15,688,Ishi22,SeibuBus,2019-09-05T09:28:09+09:00,Zenjouimmae.30029.1,35.736188,139.60024199999998,Jeieitoukyouaoba.30024.1
16,688,Ishi22,SeibuBus,2019-09-05T09:28:52+09:00,Jeieitoukyouaoba.30024.1,35.735233,139.600068,Igusadoori.30023.1
17,688,Ishi22,SeibuBus,2019-09-05T09:29:31+09:00,Jeieitoukyouaoba.30024.1,35.734105,139.599947,Igusadoori.30023.1
18,688,Ishi22,SeibuBus,2019-09-05T09:30:03+09:00,Jeieitoukyouaoba.30024.1,35.732594,139.59979099999998,Igusadoori.30023.1
19,688,Ishi22,SeibuBus,2019-09-05T09:30:32+09:00,Jeieitoukyouaoba.30024.1,35.732126,139.599738,Igusadoori.30023.1
20,688,Ishi22,SeibuBus,2019-09-05T09:30:56+09:00,Igusadoori.30023.1,35.731587,139.599669,Igusakoukou.30022.1
21,688,Ishi22,SeibuBus,2019-09-05T09:31:21+09:00,Igusadoori.30023.1,35.730094,139.59956499999998,Igusakoukou.30022.1
22,688,Ishi22,SeibuBus,2019-09-05T09:31:46+09:00,Igusadoori.30023.1,35.72900100000001,139.599495,Igusakoukou.30022.1
23,688,Ishi22,SeibuBus,2019-09-05T09:32:11+09:00,Igusadoori.30023.1,35.727855,139.599495,Igusakoukou.30022.1
24,688,Ishi22,SeibuBus,2019-09-05T09:33:01+09:00,Igusadoori.30023.1,35.727438,139.599478,Igusakoukou.30022.1
25,688,Ishi22,SeibuBus,2019-09-05T09:33:27+09:00,Igusadoori.30023.1,35.727421,139.59946100000002,Igusakoukou.30022.1
26,688,Ishi22,SeibuBus,2019-09-05T09:33:52+09:00,Igusadoori.30023.1,35.727403,139.59946100000002,Igusakoukou.30022.1
27,688,Ishi22,SeibuBus,2019-09-05T09:34:17+09:00,Igusadoori.30023.1,35.727386,139.599478,Igusakoukou.30022.1
28,688,Ishi22,SeibuBus,2019-09-05T09:34:59+09:00,Igusadoori.30023.1,35.727265,139.599478,Igusakoukou.30022.1
29,688,Ishi22,SeibuBus,2019-09-05T09:36:00+09:00,Igusakoukou.30022.1,35.726501,139.599513,Kamiigusaekiiriguchi.30021.1
30,688,Ishi22,SeibuBus,2019-09-05T09:36:25+09:00,Igusakoukou.30022.1,35.72632700000001,139.59953000000002,Kamiigusaekiiriguchi.30021.1
31,688,Ishi22,SeibuBus,2019-09-05T09:36:50+09:00,Igusakoukou.30022.1,35.72632700000001,139.59953000000002,Kamiigusaekiiriguchi.30021.1
32,688,Ishi22,SeibuBus,2019-09-05T09:37:15+09:00,Igusakoukou.30022.1,35.72632700000001,139.599513,Kamiigusaekiiriguchi.30021.1
33,688,Ishi22,SeibuBus,2019-09-05T09:37:40+09:00,Igusakoukou.30022.1,35.726171,139.599548,Kamiigusaekiiriguchi.30021.1
34,688,Ishi22,SeibuBus,2019-09-05T09:38:31+09:00,Igusakoukou.30022.1,35.725928,139.59956499999998,Kamiigusaekiiriguchi.30021.1
35,688,Ishi22,SeibuBus,2019-09-05T09:38:56+09:00,Igusakoukou.30022.1,35.725789,139.59953000000002,Kamiigusaekiiriguchi.30021.1
36,688,Ishi22,SeibuBus,2019-09-05T09:39:21+09:00,Igusakoukou.30022.1,35.725615000000005,139.60085,Kamiigusaekiiriguchi.30021.1
37,688,Ishi22,SeibuBus,2019-09-05T09:40:03+09:00,Igusakoukou.30022.1,35.72624,139.602916,Kamiigusaekiiriguchi.30021.1
