,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,823,Izumi39-3,SeibuBus,2019-09-05T08:26:13+09:00,Momijiyama.30143.1,35.767752,139.602423,Ooizumimachisanchoume.30361.2
1,823,Izumi39-3,SeibuBus,2019-09-05T08:26:13+09:00,Momijiyama.30143.1,35.767752,139.602423,Ooizumimachisanchoume.30361.2
2,823,Izumi39-3,SeibuBus,2019-09-05T08:27:22+09:00,Ooizumimachisanchoume.30361.2,35.770793,139.597918,Nagakubo.30152.15
3,823,Izumi39-3,SeibuBus,2019-09-05T08:27:22+09:00,Ooizumimachisanchoume.30361.2,35.770793,139.597918,Nagakubo.30152.15
4,823,Izumi39-3,SeibuBus,2019-09-05T08:28:22+09:00,Ooizumimachisanchoume.30361.2,35.772927,139.594992,Nagakubo.30152.15
5,823,Izumi39-3,SeibuBus,2019-09-05T08:28:51+09:00,Ooizumimachisanchoume.30361.2,35.773645,139.59501699999998,Nagakubo.30152.15
6,823,Izumi39-3,SeibuBus,2019-09-05T08:44:31+09:00,None,35.773804999999996,139.595067,Nagakubo.30152.3
7,823,Izumi39-3,SeibuBus,2019-09-05T08:44:42+09:00,None,35.773462,139.595085,Nagakubo.30152.3
8,823,Izumi39-3,SeibuBus,2019-09-05T08:45:21+09:00,Nagakubo.30152.3,35.773082,139.59499,Ooizumimachisanchoume.30361.1
9,823,Izumi39-3,SeibuBus,2019-09-05T08:45:38+09:00,Nagakubo.30152.3,35.77256699999999,139.59551000000002,Ooizumimachisanchoume.30361.1
10,823,Izumi39-3,SeibuBus,2019-09-05T08:46:27+09:00,Nagakubo.30152.3,35.76993,139.59954,Ooizumimachisanchoume.30361.1
11,823,Izumi39-3,SeibuBus,2019-09-05T08:47:00+09:00,Ooizumimachisanchoume.30361.1,35.769793,139.599737,Momijiyama.30143.2
12,823,Izumi39-3,SeibuBus,2019-09-05T08:47:05+09:00,Ooizumimachisanchoume.30361.1,35.769591999999996,139.600018,Momijiyama.30143.2
13,823,Izumi39-3,SeibuBus,2019-09-05T08:48:05+09:00,Ooizumimachisanchoume.30361.1,35.768598,139.601392,Momijiyama.30143.2
14,823,Izumi39-3,SeibuBus,2019-09-05T08:48:05+09:00,Ooizumimachisanchoume.30361.1,35.768598,139.601392,Momijiyama.30143.2
15,823,Izumi39-3,SeibuBus,2019-09-05T08:49:06+09:00,Momijiyama.30143.2,35.766767,139.601342,Ooizumidaiichishougakkou.30142.2
16,823,Izumi39-3,SeibuBus,2019-09-05T08:49:58+09:00,Ooizumidaiichishougakkou.30142.2,35.76518499999999,139.600302,Ooizumimachiyonchoume.30141.2
17,823,Izumi39-3,SeibuBus,2019-09-05T08:50:30+09:00,Ooizumimachiyonchoume.30141.2,35.763027,139.599653,Ooizumikitachuugakkouiriguchi.30135.2
18,823,Izumi39-3,SeibuBus,2019-09-05T08:50:30+09:00,Ooizumimachiyonchoume.30141.2,35.763027,139.599653,Ooizumikitachuugakkouiriguchi.30135.2
19,823,Izumi39-3,SeibuBus,2019-09-05T08:51:30+09:00,Ooizumimachiyonchoume.30141.2,35.76068499999999,139.598622,Ooizumikitachuugakkouiriguchi.30135.2
20,823,Izumi39-3,SeibuBus,2019-09-05T08:52:01+09:00,Ooizumimachiyonchoume.30141.2,35.75837,139.597635,Ooizumikitachuugakkouiriguchi.30135.2
21,823,Izumi39-3,SeibuBus,2019-09-05T08:52:18+09:00,Ooizumikitachuugakkouiriguchi.30135.2,35.757817,139.597545,Miharadaichuugakkou.30038.4
22,823,Izumi39-3,SeibuBus,2019-09-05T08:53:18+09:00,Ooizumikitachuugakkouiriguchi.30135.2,35.756915,139.599422,Miharadaichuugakkou.30038.4
