,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,271,Izumi39,SeibuBus,2019-09-05T08:26:33+09:00,Myouenjimae.30039.2,35.750393,139.5857,Ooizumigakuenekikitaguchi.30117.15
1,271,Izumi39,SeibuBus,2019-09-05T09:52:53+09:00,None,35.74933400000001,139.587349,Ooizumigakuenekikitaguchi.30117.1
2,271,Izumi39,SeibuBus,2019-09-05T09:53:28+09:00,None,35.74933400000001,139.587349,Ooizumigakuenekikitaguchi.30117.1
3,271,Izumi39,SeibuBus,2019-09-05T09:53:53+09:00,None,35.74933400000001,139.587349,Ooizumigakuenekikitaguchi.30117.1
4,271,Izumi39,SeibuBus,2019-09-05T09:54:18+09:00,None,35.74933400000001,139.587349,Ooizumigakuenekikitaguchi.30117.1
5,271,Izumi39,SeibuBus,2019-09-05T09:54:44+09:00,None,35.74933400000001,139.587349,Ooizumigakuenekikitaguchi.30117.1
6,271,Izumi39,SeibuBus,2019-09-05T09:55:26+09:00,Ooizumigakuenekikitaguchi.30117.1,35.74933400000001,139.587349,Myouenjimae.30039.1
7,271,Izumi39,SeibuBus,2019-09-05T09:55:59+09:00,Ooizumigakuenekikitaguchi.30117.1,35.750792,139.588495,Myouenjimae.30039.1
8,271,Izumi39,SeibuBus,2019-09-05T09:56:24+09:00,Ooizumigakuenekikitaguchi.30117.1,35.750879,139.588512,Myouenjimae.30039.1
9,271,Izumi39,SeibuBus,2019-09-05T09:56:49+09:00,Ooizumigakuenekikitaguchi.30117.1,35.750792,139.58853,Myouenjimae.30039.1
10,271,Izumi39,SeibuBus,2019-09-05T09:57:14+09:00,Myouenjimae.30039.1,35.75089600000001,139.589155,Toueisatsueijomae.30037.3
11,271,Izumi39,SeibuBus,2019-09-05T09:57:39+09:00,Myouenjimae.30039.1,35.75074,139.590648,Toueisatsueijomae.30037.3
12,271,Izumi39,SeibuBus,2019-09-05T09:58:29+09:00,Myouenjimae.30039.1,35.750757,139.592575,Toueisatsueijomae.30037.3
13,271,Izumi39,SeibuBus,2019-09-05T09:58:54+09:00,Myouenjimae.30039.1,35.750862,139.593321,Toueisatsueijomae.30037.3
14,271,Izumi39,SeibuBus,2019-09-05T09:59:42+09:00,Myouenjimae.30039.1,35.753136,139.59549199999998,Toueisatsueijomae.30037.3
15,271,Izumi39,SeibuBus,2019-09-05T10:00:14+09:00,Toueisatsueijomae.30037.3,35.753205,139.595544,Miharadaichuugakkou.30038.3
16,271,Izumi39,SeibuBus,2019-09-05T10:00:39+09:00,Toueisatsueijomae.30037.3,35.753622,139.596533,Miharadaichuugakkou.30038.3
17,271,Izumi39,SeibuBus,2019-09-05T10:01:29+09:00,Miharadaichuugakkou.30038.3,35.75515,139.59948500000002,Ooizumikitachuugakkouiriguchi.30135.1
18,271,Izumi39,SeibuBus,2019-09-05T10:01:54+09:00,Miharadaichuugakkou.30038.3,35.755896,139.600144,Ooizumikitachuugakkouiriguchi.30135.1
19,271,Izumi39,SeibuBus,2019-09-05T10:02:19+09:00,Miharadaichuugakkou.30038.3,35.756261,139.600665,Ooizumikitachuugakkouiriguchi.30135.1
20,271,Izumi39,SeibuBus,2019-09-05T10:02:44+09:00,Miharadaichuugakkou.30038.3,35.756261,139.600648,Ooizumikitachuugakkouiriguchi.30135.1
21,271,Izumi39,SeibuBus,2019-09-05T10:03:09+09:00,Miharadaichuugakkou.30038.3,35.756226,139.600665,Ooizumikitachuugakkouiriguchi.30135.1
22,271,Izumi39,SeibuBus,2019-09-05T10:04:00+09:00,Miharadaichuugakkou.30038.3,35.75683400000001,139.599502,Ooizumikitachuugakkouiriguchi.30135.1
23,271,Izumi39,SeibuBus,2019-09-05T10:04:25+09:00,Miharadaichuugakkou.30038.3,35.75699,139.599103,Ooizumikitachuugakkouiriguchi.30135.1
24,271,Izumi39,SeibuBus,2019-09-05T10:04:50+09:00,Miharadaichuugakkou.30038.3,35.75732,139.597523,Ooizumikitachuugakkouiriguchi.30135.1
25,271,Izumi39,SeibuBus,2019-09-05T10:05:32+09:00,Miharadaichuugakkou.30038.3,35.757979999999996,139.59753999999998,Ooizumikitachuugakkouiriguchi.30135.1
26,271,Izumi39,SeibuBus,2019-09-05T10:06:03+09:00,Ooizumikitachuugakkouiriguchi.30135.1,35.758431,139.597592,Ooizumimachiyonchoume.30141.1
27,271,Izumi39,SeibuBus,2019-09-05T10:06:28+09:00,Ooizumikitachuugakkouiriguchi.30135.1,35.76042800000001,139.598443,Ooizumimachiyonchoume.30141.1
28,271,Izumi39,SeibuBus,2019-09-05T10:07:21+09:00,Ooizumikitachuugakkouiriguchi.30135.1,35.762546,139.598825,Ooizumimachiyonchoume.30141.1
29,271,Izumi39,SeibuBus,2019-09-05T10:08:03+09:00,Ooizumimachiyonchoume.30141.1,35.764091,139.59945,Ooizumidaiichishougakkou.30142.1
30,271,Izumi39,SeibuBus,2019-09-05T10:08:32+09:00,Ooizumidaiichishougakkou.30142.1,35.765375,139.599919,Momijiyama.30143.1
31,271,Izumi39,SeibuBus,2019-09-05T10:08:40+09:00,Ooizumidaiichishougakkou.30142.1,35.76558400000001,139.59997099999998,Momijiyama.30143.1
32,271,Izumi39,SeibuBus,2019-09-05T10:09:27+09:00,Momijiyama.30143.1,35.767007,139.601967,Kitaooizumi.30145.1
33,271,Izumi39,SeibuBus,2019-09-05T10:09:52+09:00,Momijiyama.30143.1,35.76714600000001,139.602644,Kitaooizumi.30145.1
34,271,Izumi39,SeibuBus,2019-09-05T10:10:17+09:00,Momijiyama.30143.1,35.768205,139.601915,Kitaooizumi.30145.1
