,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,286,Kawagoe35-1,SeibuBus,2019-09-05T08:26:17+09:00,Houmukyoku.130241.2,35.908434655061264,139.46038717790987,Shoubigakuendaigaku.130242.15
1,286,Kawagoe35-1,SeibuBus,2019-09-05T08:26:52+09:00,Houmukyoku.130241.2,35.90859910437821,139.46314982209014,Shoubigakuendaigaku.130242.15
2,286,Kawagoe35-1,SeibuBus,2019-09-05T09:09:25+09:00,None,35.90931961875084,139.46645967724612,Shoubigakuendaigaku.130242.1
3,286,Kawagoe35-1,SeibuBus,2019-09-05T09:09:50+09:00,None,35.91110320630061,139.4700458478851,Shoubigakuendaigaku.130242.1
4,286,Kawagoe35-1,SeibuBus,2019-09-05T09:10:15+09:00,None,35.90725758002847,139.47241238161473,Shoubigakuendaigaku.130242.1
5,286,Kawagoe35-1,SeibuBus,2019-09-05T09:10:40+09:00,None,35.90751435479011,139.47423979629514,Shoubigakuendaigaku.130242.1
6,286,Kawagoe35-1,SeibuBus,2019-09-05T09:11:30+09:00,None,35.9067375205435,139.47474098280338,Shoubigakuendaigaku.130242.1
7,286,Kawagoe35-1,SeibuBus,2019-09-05T09:11:56+09:00,None,35.90388532463359,139.47813541600794,Shoubigakuendaigaku.130242.1
8,286,Kawagoe35-1,SeibuBus,2019-09-05T09:12:21+09:00,None,35.90495784150003,139.47883703306582,Shoubigakuendaigaku.130242.1
9,286,Kawagoe35-1,SeibuBus,2019-09-05T09:12:46+09:00,None,35.90659838016072,139.4820138134918,Shoubigakuendaigaku.130242.1
10,286,Kawagoe35-1,SeibuBus,2019-09-05T09:13:11+09:00,None,35.906906976612404,139.4818445767212,Shoubigakuendaigaku.130242.1
11,286,Kawagoe35-1,SeibuBus,2019-09-05T09:14:01+09:00,None,35.90725808071113,139.48199473743443,Shoubigakuendaigaku.130242.1
12,286,Kawagoe35-1,SeibuBus,2019-09-05T09:14:51+09:00,None,35.91030920755242,139.47969971163934,Shoubigakuendaigaku.130242.1
13,286,Kawagoe35-1,SeibuBus,2019-09-05T09:15:24+09:00,None,35.91279072018813,139.48133002446752,Shoubigakuendaigaku.130242.1
14,286,Kawagoe35-1,SeibuBus,2019-09-05T09:15:56+09:00,None,35.91412444627608,139.4819961190491,Shoubigakuendaigaku.130242.1
