,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,737,Kitaura03,SeibuBus,2019-09-05T08:26:27+09:00,Suzuyafudanotsuji.120175.2,35.87009000000001,139.630252,Minamiyonoekikitairiguchi.120174.2
1,737,Kitaura03,SeibuBus,2019-09-05T08:26:40+09:00,Minamiyonoekikitairiguchi.120174.2,35.870194,139.630686,Suzuyashougakkou.120173.2
2,737,Kitaura03,SeibuBus,2019-09-05T08:27:31+09:00,Suzuyashougakkou.120173.2,35.870246,139.63395,Ootoshougakkou.120172.2
3,737,Kitaura03,SeibuBus,2019-09-05T08:27:56+09:00,Suzuyashougakkou.120173.2,35.870385,139.63544299999998,Ootoshougakkou.120172.2
4,737,Kitaura03,SeibuBus,2019-09-05T08:28:21+09:00,Ootoshougakkou.120172.2,35.870507,139.63693600000002,Tokiwajucchoume.120171.2
5,737,Kitaura03,SeibuBus,2019-09-05T08:28:45+09:00,Tokiwajucchoume.120171.2,35.87071500000001,139.639193,Kitaurawaeki.120158.0
6,737,Kitaura03,SeibuBus,2019-09-05T08:30:00+09:00,Tokiwajucchoume.120171.2,35.87101,139.643932,Kitaurawaeki.120158.0
7,737,Kitaura03,SeibuBus,2019-09-05T08:30:23+09:00,Tokiwajucchoume.120171.2,35.871444,139.64511299999998,Kitaurawaeki.120158.0
8,737,Kitaura03,SeibuBus,2019-09-05T08:30:48+09:00,Tokiwajucchoume.120171.2,35.871462,139.64511299999998,Kitaurawaeki.120158.0
9,737,Kitaura03,SeibuBus,2019-09-05T08:35:34+09:00,None,35.8716,139.64553,Kitaurawaeki.120158.3
10,737,Kitaura03,SeibuBus,2019-09-05T08:36:03+09:00,None,35.871357,139.645078,Kitaurawaeki.120158.3
11,737,Kitaura03,SeibuBus,2019-09-05T08:36:28+09:00,None,35.871479,139.644991,Kitaurawaeki.120158.3
12,737,Kitaura03,SeibuBus,2019-09-05T08:36:53+09:00,None,35.871479,139.64487,Kitaurawaeki.120158.3
13,737,Kitaura03,SeibuBus,2019-09-05T08:37:24+09:00,None,35.870958,139.644991,Kitaurawaeki.120158.3
14,737,Kitaura03,SeibuBus,2019-09-05T08:37:39+09:00,None,35.87116599999999,139.645026,Kitaurawaeki.120158.3
15,737,Kitaura03,SeibuBus,2019-09-05T08:39:03+09:00,None,35.871062,139.644731,Kitaurawaeki.120158.3
16,737,Kitaura03,SeibuBus,2019-09-05T08:39:14+09:00,Kitaurawaeki.120158.3,35.870993,139.643967,Tokiwajucchoume.120171.1
17,737,Kitaura03,SeibuBus,2019-09-05T08:39:39+09:00,Kitaurawaeki.120158.3,35.870871,139.641901,Tokiwajucchoume.120171.1
18,737,Kitaura03,SeibuBus,2019-09-05T08:40:29+09:00,Kitaurawaeki.120158.3,35.87080200000001,139.640391,Tokiwajucchoume.120171.1
19,737,Kitaura03,SeibuBus,2019-09-05T08:40:58+09:00,Tokiwajucchoume.120171.1,35.87071500000001,139.639245,Ootoshougakkou.120172.1
20,737,Kitaura03,SeibuBus,2019-09-05T08:41:23+09:00,Tokiwajucchoume.120171.1,35.870611,139.63841100000002,Ootoshougakkou.120172.1
21,737,Kitaura03,SeibuBus,2019-09-05T08:42:01+09:00,Ootoshougakkou.120172.1,35.870455,139.636207,Suzuyashougakkou.120173.1
22,737,Kitaura03,SeibuBus,2019-09-05T08:43:02+09:00,Minamiyonoekikitairiguchi.120174.1,35.870281,139.629679,Suzuyafudanotsuji.120175.1
23,737,Kitaura03,SeibuBus,2019-09-05T08:43:27+09:00,Minamiyonoekikitairiguchi.120174.1,35.87035,139.628047,Suzuyafudanotsuji.120175.1
24,737,Kitaura03,SeibuBus,2019-09-05T08:43:52+09:00,Minamiyonoekikitairiguchi.120174.1,35.870368,139.62803,Suzuyafudanotsuji.120175.1
25,737,Kitaura03,SeibuBus,2019-09-05T08:44:13+09:00,Suzuyafudanotsuji.120175.1,35.870437,139.62688400000002,Yamakubo.120176.1
26,737,Kitaura03,SeibuBus,2019-09-05T08:44:56+09:00,Yamakubo.120176.1,35.86988200000001,139.62256100000002,Sakawakitamachi.120177.1
27,737,Kitaura03,SeibuBus,2019-09-05T08:45:21+09:00,Yamakubo.120176.1,35.869083,139.619939,Sakawakitamachi.120177.1
28,737,Kitaura03,SeibuBus,2019-09-05T08:45:46+09:00,Yamakubo.120176.1,35.86875300000001,139.618759,Sakawakitamachi.120177.1
29,737,Kitaura03,SeibuBus,2019-09-05T08:46:22+09:00,Sakawakitamachi.120177.1,35.868146,139.61660600000002,Daisenintoori.120184.1
30,737,Kitaura03,SeibuBus,2019-09-05T08:46:47+09:00,Sakawakitamachi.120177.1,35.867798,139.61535600000002,Daisenintoori.120184.1
31,737,Kitaura03,SeibuBus,2019-09-05T08:48:02+09:00,Daisenintoori.120184.1,35.866166,139.609696,Saitamadaigaku.120179.0
32,737,Kitaura03,SeibuBus,2019-09-05T08:48:27+09:00,Daisenintoori.120184.1,35.86578499999999,139.608307,Saitamadaigaku.120179.0
33,737,Kitaura03,SeibuBus,2019-09-05T08:48:52+09:00,Daisenintoori.120184.1,35.86575,139.608151,Saitamadaigaku.120179.0
34,737,Kitaura03,SeibuBus,2019-09-05T08:49:17+09:00,Daisenintoori.120184.1,35.865159999999996,139.607561,Saitamadaigaku.120179.0
35,737,Kitaura03,SeibuBus,2019-09-05T08:49:42+09:00,Daisenintoori.120184.1,35.865125,139.607543,Saitamadaigaku.120179.0
