,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:26:05+09:00,Nishidanchiiriguchi.60049.4,35.755577,139.498188,Kurumenishidanchi.60050.3
1,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:27:02+09:00,Nishidanchiiriguchi.60049.4,35.753768,139.50066,Kurumenishidanchi.60050.3
2,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:27:31+09:00,Nishidanchiiriguchi.60049.4,35.752512,139.4985,Kurumenishidanchi.60050.3
3,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:27:58+09:00,Yanagikuboicchoume.60057.2,35.752225,139.49804,Takiyamadanchinishi.60056.2
4,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:28:33+09:00,Kurumenishidanchi.60050.3,35.750383,139.496578,Yanagikuboicchoume.60057.2
5,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:28:42+09:00,Yanagikuboicchoume.60057.2,35.750383,139.496578,Takiyamadanchinishi.60056.2
6,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:30:00+09:00,Takiyamadanchinishi.60056.2,35.747871999999994,139.500195,Takiyamadanchi.60045.3
7,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:30:29+09:00,Takiyamadanchi.60045.3,35.74775,139.500488,Takiyamagochoume.60044.3
8,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:30:56+09:00,Takiyamadanchi.60045.3,35.746722,139.502625,Takiyamagochoume.60044.3
9,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:31:26+09:00,Danchisenta-.60043.3,35.746475,139.503118,Takiyamasanchoume.60042.3
10,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:31:26+09:00,Danchisenta-.60043.3,35.746475,139.503118,Takiyamasanchoume.60042.3
11,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:32:33+09:00,Takiyamagochoume.60044.3,35.745313,139.505552,Danchisenta-.60043.3
12,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:33:01+09:00,Danchisenta-.60043.3,35.745313,139.505552,Takiyamasanchoume.60042.3
13,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:33:10+09:00,Takiyamasanchoume.60042.3,35.74515200000001,139.50581499999998,Takiyamadanchiiriguchi.60041.3
14,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:34:30+09:00,Takiyamadanchiiriguchi.60041.3,35.74384699999999,139.50855,Guro-buraidohonshairiguchi.60025.1
15,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:34:30+09:00,Takiyamadanchiiriguchi.60041.3,35.74384699999999,139.50855,Guro-buraidohonshairiguchi.60025.1
16,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:35:21+09:00,Takiyamasanchoume.60042.3,35.742603,139.51141299999998,Takiyamadanchiiriguchi.60041.3
17,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:35:55+09:00,Guro-buraidohonshairiguchi.60025.1,35.742467,139.511668,Shinoumekaidou.60024.1
18,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:35:55+09:00,Guro-buraidohonshairiguchi.60025.1,35.742467,139.511668,Shinoumekaidou.60024.1
19,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:36:55+09:00,Takiyamadanchiiriguchi.60041.3,35.74175800000001,139.51343799999998,Guro-buraidohonshairiguchi.60025.1
20,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:37:30+09:00,Guro-buraidohonshairiguchi.60025.1,35.741118,139.513553,Shinoumekaidou.60024.1
21,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:37:41+09:00,Shinoumekaidou.60024.1,35.740695,139.51351200000002,Hanakoganeigochoume.60023.1
22,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:38:41+09:00,Guro-buraidohonshairiguchi.60025.1,35.738787,139.51328,Shinoumekaidou.60024.1
23,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:38:41+09:00,Guro-buraidohonshairiguchi.60025.1,35.738787,139.51328,Shinoumekaidou.60024.1
24,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:39:57+09:00,Guro-buraidohonshairiguchi.60025.1,35.73708,139.51312,Shinoumekaidou.60024.1
25,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:40:24+09:00,Guro-buraidohonshairiguchi.60025.1,35.736518,139.51306499999998,Shinoumekaidou.60024.1
26,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:40:24+09:00,Guro-buraidohonshairiguchi.60025.1,35.736518,139.51306499999998,Shinoumekaidou.60024.1
27,871,Kiyoshi03-1,SeibuBus,2019-09-05T08:41:31+09:00,Hanakoganeigochoume.60023.1,35.734072,139.5128,Oumekaidou.60022.4
