,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,537,Kiyoshi64,SeibuBus,2019-09-05T08:26:25+09:00,Kiyoseekikitaguchi.100091.2,35.772231,139.520483,Motomachiicchoume.100111.1
1,537,Kiyoshi64,SeibuBus,2019-09-05T08:27:02+09:00,Kiyoseekikitaguchi.100091.2,35.77313400000001,139.520136,Motomachiicchoume.100111.1
2,537,Kiyoshi64,SeibuBus,2019-09-05T08:27:27+09:00,Motomachiicchoume.100111.1,35.774939,139.520552,Kamikiyoto.100131.1
3,537,Kiyoshi64,SeibuBus,2019-09-05T08:27:52+09:00,Motomachiicchoume.100111.1,35.776762,139.521021,Kamikiyoto.100131.1
4,537,Kiyoshi64,SeibuBus,2019-09-05T08:28:17+09:00,Motomachiicchoume.100111.1,35.776693,139.52098600000002,Kamikiyoto.100131.1
5,537,Kiyoshi64,SeibuBus,2019-09-05T08:29:01+09:00,Kamikiyoto.100131.1,35.777318,139.521594,Suitenguumae.100132.1
6,537,Kiyoshi64,SeibuBus,2019-09-05T08:29:51+09:00,Kamikiyoto.100131.1,35.779089,139.525622,Suitenguumae.100132.1
7,537,Kiyoshi64,SeibuBus,2019-09-05T08:30:31+09:00,Kamikiyoto.100131.1,35.779488,139.526663,Suitenguumae.100132.1
8,537,Kiyoshi64,SeibuBus,2019-09-05T08:31:03+09:00,Suitenguumae.100132.1,35.780234,139.52826100000001,Nakakiyoto.100133.1
9,537,Kiyoshi64,SeibuBus,2019-09-05T08:31:16+09:00,Nakakiyoto.100133.1,35.780842,139.52958,Kiyoseshiyakusho.100115.1
10,537,Kiyoshi64,SeibuBus,2019-09-05T08:31:41+09:00,Nakakiyoto.100133.1,35.780981,139.529979,Kiyoseshiyakusho.100115.1
11,537,Kiyoshi64,SeibuBus,2019-09-05T08:32:32+09:00,Nakakiyoto.100133.1,35.781918,139.529736,Kiyoseshiyakusho.100115.1
12,537,Kiyoshi64,SeibuBus,2019-09-05T08:32:57+09:00,Nakakiyoto.100133.1,35.783429,139.52866,Kiyoseshiyakusho.100115.1
13,537,Kiyoshi64,SeibuBus,2019-09-05T08:33:26+09:00,Kiyoseshiyakusho.100115.1,35.784974,139.526594,Shimoda.100127.1
14,537,Kiyoshi64,SeibuBus,2019-09-05T08:34:25+09:00,Kiyoseshiyakusho.100115.1,35.78632800000001,139.52563899999998,Shimoda.100127.1
15,537,Kiyoshi64,SeibuBus,2019-09-05T08:34:50+09:00,Kiyoseshiyakusho.100115.1,35.78695300000001,139.524806,Shimoda.100127.1
16,537,Kiyoshi64,SeibuBus,2019-09-05T08:35:30+09:00,Kiyoseshiyakusho.100115.1,35.787839,139.524406,Shimoda.100127.1
17,537,Kiyoshi64,SeibuBus,2019-09-05T08:35:54+09:00,Shimoda.100127.1,35.78797700000001,139.52473600000002,Shitado.100128.1
18,537,Kiyoshi64,SeibuBus,2019-09-05T08:36:29+09:00,Shimoda.100127.1,35.78921,139.527288,Shitado.100128.1
19,537,Kiyoshi64,SeibuBus,2019-09-05T08:37:01+09:00,Shitado.100128.1,35.789349,139.527636,Danchihoikuemmae.100136.1
20,537,Kiyoshi64,SeibuBus,2019-09-05T08:37:23+09:00,Shitado.100128.1,35.789453,139.527879,Danchihoikuemmae.100136.1
21,537,Kiyoshi64,SeibuBus,2019-09-05T08:37:48+09:00,Shitado.100128.1,35.790043,139.527636,Danchihoikuemmae.100136.1
22,537,Kiyoshi64,SeibuBus,2019-09-05T08:38:58+09:00,Shitado.100128.1,35.791693,139.52643799999998,Danchihoikuemmae.100136.1
23,537,Kiyoshi64,SeibuBus,2019-09-05T08:39:23+09:00,Shitado.100128.1,35.791884,139.526681,Danchihoikuemmae.100136.1
24,537,Kiyoshi64,SeibuBus,2019-09-05T08:39:45+09:00,Danchihoikuemmae.100136.1,35.792057,139.526993,Daidadanchichuuou.100137.1
25,537,Kiyoshi64,SeibuBus,2019-09-05T08:40:29+09:00,Danchihoikuemmae.100136.1,35.794505,139.530292,Daidadanchichuuou.100137.1
26,537,Kiyoshi64,SeibuBus,2019-09-05T08:40:58+09:00,Daidadanchichuuou.100137.1,35.794905,139.530674,Daidadanchi.100138.15
