,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,390,Kote01,SeibuBus,2019-09-05T08:26:26+09:00,Miyaushiro.110192.1,35.790781,139.427948,Kitanotenjimmae.110202.3
1,390,Kote01,SeibuBus,2019-09-05T08:26:51+09:00,Miyaushiro.110192.1,35.789687,139.427861,Kitanotenjimmae.110202.3
2,390,Kote01,SeibuBus,2019-09-05T08:27:16+09:00,Miyaushiro.110192.1,35.789687,139.427879,Kitanotenjimmae.110202.3
3,390,Kote01,SeibuBus,2019-09-05T08:27:54+09:00,Kitanotenjimmae.110202.3,35.78809000000001,139.427757,Takamine.110206.1
4,390,Kote01,SeibuBus,2019-09-05T08:28:33+09:00,Kitanotenjimmae.110202.3,35.78625,139.426941,Takamine.110206.1
5,390,Kote01,SeibuBus,2019-09-05T08:28:45+09:00,Takamine.110206.1,35.785868,139.426785,Tsubakiminenyu-tauniriguchi.110207.1
6,390,Kote01,SeibuBus,2019-09-05T08:29:58+09:00,Tsubakiminenyu-tauniriguchi.110207.1,35.781042,139.426368,Tsubakimineshougakkouiriguchi.110208.1
7,390,Kote01,SeibuBus,2019-09-05T08:30:31+09:00,Tsubakiminenyu-tauniriguchi.110207.1,35.780903,139.427254,Tsubakimineshougakkouiriguchi.110208.1
8,390,Kote01,SeibuBus,2019-09-05T08:31:01+09:00,Tsubakimineshougakkouiriguchi.110208.1,35.781024,139.427965,Toshokammae.110209.1
9,390,Kote01,SeibuBus,2019-09-05T08:31:30+09:00,Tsubakimineshougakkouiriguchi.110208.1,35.781076,139.43006599999998,Toshokammae.110209.1
10,390,Kote01,SeibuBus,2019-09-05T08:31:57+09:00,Toshokammae.110209.1,35.781181,139.430465,Tsubakiminechuuou.110210.1
11,390,Kote01,SeibuBus,2019-09-05T08:32:22+09:00,Toshokammae.110209.1,35.780781,139.432445,Tsubakiminechuuou.110210.1
12,390,Kote01,SeibuBus,2019-09-05T08:32:47+09:00,Toshokammae.110209.1,35.780485999999996,139.433729,Tsubakiminechuuou.110210.1
13,390,Kote01,SeibuBus,2019-09-05T08:33:28+09:00,Tsubakiminechuuou.110210.1,35.78099,139.434511,Chuuoukouen.110211.1
14,390,Kote01,SeibuBus,2019-09-05T08:34:27+09:00,Chuuoukouen.110211.1,35.782986,139.435778,Tsubakiminenyu-taun.110212.15
15,390,Kote01,SeibuBus,2019-09-05T08:34:57+09:00,Chuuoukouen.110211.1,35.784462,139.43733999999998,Tsubakiminenyu-taun.110212.15
16,390,Kote01,SeibuBus,2019-09-05T08:35:13+09:00,Chuuoukouen.110211.1,35.784791999999996,139.43780900000002,Tsubakiminenyu-taun.110212.15
17,390,Kote01,SeibuBus,2019-09-05T08:39:23+09:00,None,35.784757,139.43806999999998,Tsubakiminenyu-taun.110212.1
18,390,Kote01,SeibuBus,2019-09-05T08:39:48+09:00,None,35.784791999999996,139.43806999999998,Tsubakiminenyu-taun.110212.1
19,390,Kote01,SeibuBus,2019-09-05T08:40:13+09:00,None,35.784774,139.43806999999998,Tsubakiminenyu-taun.110212.1
20,390,Kote01,SeibuBus,2019-09-05T08:41:04+09:00,None,35.784791999999996,139.43808700000002,Tsubakiminenyu-taun.110212.1
21,390,Kote01,SeibuBus,2019-09-05T08:41:29+09:00,None,35.784792,139.43808700000002,Tsubakiminenyu-taun.110212.1
22,390,Kote01,SeibuBus,2019-09-05T08:41:54+09:00,None,35.784774,139.43808700000002,Tsubakiminenyu-taun.110212.1
23,390,Kote01,SeibuBus,2019-09-05T08:42:44+09:00,None,35.784774,139.43808700000002,Tsubakiminenyu-taun.110212.1
24,390,Kote01,SeibuBus,2019-09-05T08:43:09+09:00,None,35.784791999999996,139.43808700000002,Tsubakiminenyu-taun.110212.1
25,390,Kote01,SeibuBus,2019-09-05T08:43:59+09:00,None,35.784792,139.438104,Tsubakiminenyu-taun.110212.1
26,390,Kote01,SeibuBus,2019-09-05T08:44:12+09:00,Tsubakiminenyu-taun.110212.1,35.784791999999996,139.43808700000002,Chuuoukouen.110211.2
27,390,Kote01,SeibuBus,2019-09-05T08:44:48+09:00,Tsubakiminenyu-taun.110212.1,35.784219,139.43704499999998,Chuuoukouen.110211.2
28,390,Kote01,SeibuBus,2019-09-05T08:45:30+09:00,Chuuoukouen.110211.2,35.78295100000001,139.4359,Tsubakiminechuuou.110210.2
29,390,Kote01,SeibuBus,2019-09-05T08:45:42+09:00,Chuuoukouen.110211.2,35.782917,139.435396,Tsubakiminechuuou.110210.2
30,390,Kote01,SeibuBus,2019-09-05T08:46:26+09:00,Chuuoukouen.110211.2,35.780868,139.434233,Tsubakiminechuuou.110210.2
31,390,Kote01,SeibuBus,2019-09-05T08:46:56+09:00,Tsubakiminechuuou.110210.2,35.780625,139.43383400000002,Toshokammae.110209.2
32,390,Kote01,SeibuBus,2019-09-05T08:48:03+09:00,Tsubakiminechuuou.110210.2,35.781042,139.430049,Toshokammae.110209.2
33,390,Kote01,SeibuBus,2019-09-05T08:48:26+09:00,Toshokammae.110209.2,35.780903,139.429597,Tsubakimineshougakkouiriguchi.110208.2
34,390,Kote01,SeibuBus,2019-09-05T08:48:56+09:00,Toshokammae.110209.2,35.78092,139.42753100000002,Tsubakimineshougakkouiriguchi.110208.2
35,390,Kote01,SeibuBus,2019-09-05T08:49:25+09:00,Tsubakimineshougakkouiriguchi.110208.2,35.78092,139.427549,Tsubakiminenyu-tauniriguchi.110207.2
36,390,Kote01,SeibuBus,2019-09-05T08:50:01+09:00,Tsubakimineshougakkouiriguchi.110208.2,35.780833,139.42676799999998,Tsubakiminenyu-tauniriguchi.110207.2
37,390,Kote01,SeibuBus,2019-09-05T08:50:26+09:00,Tsubakimineshougakkouiriguchi.110208.2,35.780851,139.426785,Tsubakiminenyu-tauniriguchi.110207.2
38,390,Kote01,SeibuBus,2019-09-05T08:50:51+09:00,Tsubakimineshougakkouiriguchi.110208.2,35.780868,139.426455,Tsubakiminenyu-tauniriguchi.110207.2
39,390,Kote01,SeibuBus,2019-09-05T08:51:28+09:00,Tsubakiminenyu-tauniriguchi.110207.2,35.781823,139.426177,Takamine.110206.2
40,390,Kote01,SeibuBus,2019-09-05T08:52:00+09:00,Tsubakiminenyu-tauniriguchi.110207.2,35.782986,139.426264,Takamine.110206.2
