,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,888,Kou01,SeibuBus,2019-09-05T08:26:18+09:00,None,35.79890200000001,139.466147,Koukuukoueneki.110121.2
1,888,Kou01,SeibuBus,2019-09-05T08:26:43+09:00,None,35.79890200000001,139.466147,Koukuukoueneki.110121.2
2,888,Kou01,SeibuBus,2019-09-05T08:27:33+09:00,None,35.79890200000001,139.466147,Koukuukoueneki.110121.2
3,888,Kou01,SeibuBus,2019-09-05T08:27:58+09:00,None,35.79890200000001,139.466164,Koukuukoueneki.110121.2
4,888,Kou01,SeibuBus,2019-09-05T08:28:24+09:00,None,35.79890200000001,139.466199,Koukuukoueneki.110121.2
5,888,Kou01,SeibuBus,2019-09-05T08:28:49+09:00,None,35.798919,139.466182,Koukuukoueneki.110121.2
6,888,Kou01,SeibuBus,2019-09-05T08:29:48+09:00,Koukuukoueneki.110121.2,35.799214,139.466876,Tokorozawashiyakusho.110124.1
7,888,Kou01,SeibuBus,2019-09-05T08:30:13+09:00,Koukuukoueneki.110121.2,35.799232,139.466876,Tokorozawashiyakusho.110124.1
8,888,Kou01,SeibuBus,2019-09-05T08:31:03+09:00,Koukuukoueneki.110121.2,35.799544,139.46729299999998,Tokorozawashiyakusho.110124.1
9,888,Kou01,SeibuBus,2019-09-05T08:31:18+09:00,Tokorozawashiyakusho.110124.1,35.800273,139.468699,Pa-kutauntokorozawakeisatsushomae.110125.1
10,888,Kou01,SeibuBus,2019-09-05T08:31:43+09:00,Tokorozawashiyakusho.110124.1,35.800395,139.46908100000002,Pa-kutauntokorozawakeisatsushomae.110125.1
11,888,Kou01,SeibuBus,2019-09-05T08:32:30+09:00,Tokorozawashiyakusho.110124.1,35.800707,139.47081699999998,Pa-kutauntokorozawakeisatsushomae.110125.1
12,888,Kou01,SeibuBus,2019-09-05T08:32:56+09:00,Pa-kutauntokorozawakeisatsushomae.110125.1,35.800846,139.471425,Bunkasenta-myu-zu.110126.1
13,888,Kou01,SeibuBus,2019-09-05T08:33:23+09:00,Bunkasenta-myu-zu.110126.1,35.801367,139.474637,Chichibugakueniriguchi.110127.2
14,888,Kou01,SeibuBus,2019-09-05T08:34:15+09:00,Chichibugakueniriguchi.110127.2,35.80220100000001,139.479567,Chichibugakuen.110128.2
15,888,Kou01,SeibuBus,2019-09-05T08:34:57+09:00,Chichibugakueniriguchi.110127.2,35.80303400000001,139.48140700000002,Chichibugakuen.110128.2
16,888,Kou01,SeibuBus,2019-09-05T08:35:19+09:00,Chichibugakuen.110128.2,35.80378,139.483595,Wakamatsuchou.110129.2
17,888,Kou01,SeibuBus,2019-09-05T08:35:46+09:00,Chichibugakuen.110128.2,35.804701,139.486077,Wakamatsuchou.110129.2
18,888,Kou01,SeibuBus,2019-09-05T08:36:16+09:00,Wakamatsuchou.110129.2,35.804909,139.48644199999998,Tokorozawaseichireien.110130.2
19,888,Kou01,SeibuBus,2019-09-05T08:36:41+09:00,Wakamatsuchou.110129.2,35.80536,139.48738,Tokorozawaseichireien.110130.2
20,888,Kou01,SeibuBus,2019-09-05T08:37:30+09:00,Wakamatsuchou.110129.2,35.80673200000001,139.490244,Tokorozawaseichireien.110130.2
21,888,Kou01,SeibuBus,2019-09-05T08:37:55+09:00,Tokorozawaseichireien.110130.2,35.807096,139.4908,Nakatomiminami.110132.2
22,888,Kou01,SeibuBus,2019-09-05T08:38:45+09:00,Tokorozawaseichireien.110130.2,35.808555,139.49264,Nakatomiminami.110132.2
23,888,Kou01,SeibuBus,2019-09-05T08:39:29+09:00,Tokorozawaseichireien.110130.2,35.809891,139.494255,Nakatomiminami.110132.2
24,888,Kou01,SeibuBus,2019-09-05T08:39:55+09:00,Nakatomiminami.110132.2,35.810152,139.494567,Esuteshithichuuou.110133.2
25,888,Kou01,SeibuBus,2019-09-05T08:40:20+09:00,Nakatomiminami.110132.2,35.811489,139.496702,Esuteshithichuuou.110133.2
26,888,Kou01,SeibuBus,2019-09-05T08:41:00+09:00,Nakatomiminami.110132.2,35.812235,139.498334,Esuteshithichuuou.110133.2
27,888,Kou01,SeibuBus,2019-09-05T08:58:26+09:00,None,35.814284,139.503161,Esuteshithitokorozawa.110134.3
28,888,Kou01,SeibuBus,2019-09-05T08:59:03+09:00,None,35.814301,139.503178,Esuteshithitokorozawa.110134.3
29,888,Kou01,SeibuBus,2019-09-05T08:59:28+09:00,Esuteshithitokorozawa.110134.3,35.814265999999996,139.503161,Esuteshithichuuou.110133.1
30,888,Kou01,SeibuBus,2019-09-05T09:00:01+09:00,Esuteshithitokorozawa.110134.3,35.814058,139.502032,Esuteshithichuuou.110133.1
31,888,Kou01,SeibuBus,2019-09-05T09:00:26+09:00,Esuteshithitokorozawa.110134.3,35.81294699999999,139.499185,Esuteshithichuuou.110133.1
32,888,Kou01,SeibuBus,2019-09-05T09:00:41+09:00,Esuteshithitokorozawa.110134.3,35.812374,139.498473,Esuteshithichuuou.110133.1
33,888,Kou01,SeibuBus,2019-09-05T09:01:13+09:00,Esuteshithichuuou.110133.1,35.812357,139.498473,Nakatomiminami.110132.1
34,888,Kou01,SeibuBus,2019-09-05T09:02:03+09:00,Esuteshithichuuou.110133.1,35.81135,139.49623400000002,Nakatomiminami.110132.1
35,888,Kou01,SeibuBus,2019-09-05T09:02:28+09:00,Esuteshithichuuou.110133.1,35.81027299999999,139.49481,Nakatomiminami.110132.1
36,888,Kou01,SeibuBus,2019-09-05T09:03:25+09:00,Nakatomiminami.110132.1,35.809353,139.493647,Tokorozawaseichireien.110130.1
37,888,Kou01,SeibuBus,2019-09-05T09:03:50+09:00,Nakatomiminami.110132.1,35.809336,139.49363,Tokorozawaseichireien.110130.1
38,888,Kou01,SeibuBus,2019-09-05T09:04:15+09:00,Nakatomiminami.110132.1,35.80898900000001,139.493213,Tokorozawaseichireien.110130.1
39,888,Kou01,SeibuBus,2019-09-05T09:04:40+09:00,Nakatomiminami.110132.1,35.807669,139.491546,Tokorozawaseichireien.110130.1
40,888,Kou01,SeibuBus,2019-09-05T09:05:30+09:00,Nakatomiminami.110132.1,35.806819,139.4904,Tokorozawaseichireien.110130.1
41,888,Kou01,SeibuBus,2019-09-05T09:05:43+09:00,Tokorozawaseichireien.110130.1,35.806402,139.489671,Wakamatsuchou.110129.1
42,888,Kou01,SeibuBus,2019-09-05T09:06:33+09:00,Tokorozawaseichireien.110130.1,35.805551,139.487987,Wakamatsuchou.110129.1
43,888,Kou01,SeibuBus,2019-09-05T09:06:58+09:00,Tokorozawaseichireien.110130.1,35.805291,139.48724099999998,Wakamatsuchou.110129.1
44,888,Kou01,SeibuBus,2019-09-05T09:07:30+09:00,Tokorozawaseichireien.110130.1,35.804562,139.485817,Wakamatsuchou.110129.1
45,888,Kou01,SeibuBus,2019-09-05T09:07:55+09:00,Wakamatsuchou.110129.1,35.804353000000006,139.485262,Chichibugakuen.110128.1
46,888,Kou01,SeibuBus,2019-09-05T09:08:48+09:00,Chichibugakuen.110128.1,35.803468,139.482744,Chichibugakueniriguchi.110127.4
47,888,Kou01,SeibuBus,2019-09-05T09:09:13+09:00,Chichibugakuen.110128.1,35.802912,139.48113,Chichibugakueniriguchi.110127.4
48,888,Kou01,SeibuBus,2019-09-05T09:10:03+09:00,Chichibugakuen.110128.1,35.802374,139.480279,Chichibugakueniriguchi.110127.4
49,888,Kou01,SeibuBus,2019-09-05T09:10:28+09:00,Chichibugakuen.110128.1,35.802357,139.480279,Chichibugakueniriguchi.110127.4
50,888,Kou01,SeibuBus,2019-09-05T09:10:53+09:00,Chichibugakuen.110128.1,35.80227,139.480105,Chichibugakueniriguchi.110127.4
51,888,Kou01,SeibuBus,2019-09-05T09:11:13+09:00,Chichibugakuen.110128.1,35.802062,139.479029,Chichibugakueniriguchi.110127.4
52,888,Kou01,SeibuBus,2019-09-05T09:11:54+09:00,Chichibugakueniriguchi.110127.4,35.801992,139.478421,Bunkasenta-myu-zu.110126.2
53,888,Kou01,SeibuBus,2019-09-05T09:12:32+09:00,Chichibugakueniriguchi.110127.4,35.80115900000001,139.473543,Bunkasenta-myu-zu.110126.2
54,888,Kou01,SeibuBus,2019-09-05T09:12:44+09:00,Bunkasenta-myu-zu.110126.2,35.80102,139.47298700000002,Pa-kutauntokorozawakeisatsushomae.110125.2
55,888,Kou01,SeibuBus,2019-09-05T09:13:28+09:00,Pa-kutauntokorozawakeisatsushomae.110125.2,35.80069,139.470869,Tokorozawashiyakusho.110124.2
56,888,Kou01,SeibuBus,2019-09-05T09:13:59+09:00,Pa-kutauntokorozawakeisatsushomae.110125.2,35.800378,139.469185,Tokorozawashiyakusho.110124.2
57,888,Kou01,SeibuBus,2019-09-05T09:15:02+09:00,Tokorozawashiyakusho.110124.2,35.79945700000001,139.46729299999998,Koukuukoueneki.110121.15
