,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,629,Kuru52,SeibuBus,2019-09-05T08:26:09+09:00,Takiyamadanchi.60045.1,35.74909799380134,139.4995091951065,Takiyamaeigyousho.60046.15
1,629,Kuru52,SeibuBus,2019-09-05T08:26:09+09:00,Takiyamadanchi.60045.1,35.74838055271061,139.49904411408613,Takiyamaeigyousho.60046.15
2,629,Kuru52,SeibuBus,2019-09-05T08:27:09+09:00,Takiyamadanchi.60045.1,35.741732440080625,139.51353590311055,Takiyamaeigyousho.60046.15
3,629,Kuru52,SeibuBus,2019-09-05T08:27:09+09:00,Takiyamadanchi.60045.1,35.74336263749908,139.5136174024467,Takiyamaeigyousho.60046.15
4,629,Kuru52,SeibuBus,2019-09-05T08:28:09+09:00,Takiyamadanchi.60045.1,35.745528107161554,139.5142371693115,Takiyamaeigyousho.60046.15
5,629,Kuru52,SeibuBus,2019-09-05T08:28:09+09:00,Takiyamadanchi.60045.1,35.74861867865798,139.51463700859836,Takiyamaeigyousho.60046.15
6,629,Kuru52,SeibuBus,2019-09-05T08:29:13+09:00,Takiyamadanchi.60045.1,35.74976050523425,139.5149721104508,Takiyamaeigyousho.60046.15
7,629,Kuru52,SeibuBus,2019-09-05T08:30:13+09:00,Takiyamadanchi.60045.1,35.75139863189034,139.51520761111465,Takiyamaeigyousho.60046.15
8,629,Kuru52,SeibuBus,2019-09-05T08:30:13+09:00,Takiyamadanchi.60045.1,35.75376792554208,139.51574995106512,Takiyamaeigyousho.60046.15
9,629,Kuru52,SeibuBus,2019-09-05T08:31:13+09:00,Takiyamadanchi.60045.1,35.75514814431185,139.51538385152048,Takiyamaeigyousho.60046.15
10,629,Kuru52,SeibuBus,2019-09-05T08:31:55+09:00,None,35.755778550903685,139.51833138755796,Takiyamaeigyousho.60046.2
11,629,Kuru52,SeibuBus,2019-09-05T08:32:16+09:00,None,35.75629223935174,139.51956520370481,Takiyamaeigyousho.60046.2
12,629,Kuru52,SeibuBus,2019-09-05T08:32:47+09:00,Takiyamaeigyousho.60046.2,35.75682376624697,139.52211866997527,Takiyamadanchi.60045.2
13,629,Kuru52,SeibuBus,2019-09-05T08:33:31+09:00,Takiyamaeigyousho.60046.2,35.75840959112661,139.52440510185238,Takiyamadanchi.60045.2
14,629,Kuru52,SeibuBus,2019-09-05T08:34:27+09:00,Takiyamadanchi.60045.2,35.76017182453257,139.52876708465578,Takiyamagochoume.60044.2
15,629,Kuru52,SeibuBus,2019-09-05T08:34:53+09:00,Takiyamadanchi.60045.2,35.75856950457625,139.52996976917268,Takiyamagochoume.60044.2
16,629,Kuru52,SeibuBus,2019-09-05T08:35:22+09:00,Danchisenta-.60043.2,35.7601713552202,139.5331780429916,Takiyamasanchoume.60042.2
17,629,Kuru52,SeibuBus,2019-09-05T08:36:02+09:00,Takiyamagochoume.60044.2,35.76050523476608,139.53330255092624,Danchisenta-.60043.2
18,629,Kuru52,SeibuBus,2019-09-05T08:36:29+09:00,Danchisenta-.60043.2,35.76024623270357,139.53356445767213,Takiyamasanchoume.60042.2
