,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,737,MinamiAzuka01,SeibuBus,2019-09-05T10:14:34+09:00,None,35.865107,139.607457,Saitamadaigaku.120179.1
1,737,MinamiAzuka01,SeibuBus,2019-09-05T10:14:53+09:00,None,35.865246,139.607318,Saitamadaigaku.120179.1
2,737,MinamiAzuka01,SeibuBus,2019-09-05T10:15:43+09:00,None,35.865246,139.6073,Saitamadaigaku.120179.1
3,737,MinamiAzuka01,SeibuBus,2019-09-05T10:16:20+09:00,Saitamadaigaku.120179.1,35.865316,139.607352,Daisenintoori.120184.2
4,737,MinamiAzuka01,SeibuBus,2019-09-05T10:16:45+09:00,Saitamadaigaku.120179.1,35.865297999999996,139.607335,Daisenintoori.120184.2
5,737,MinamiAzuka01,SeibuBus,2019-09-05T10:17:10+09:00,Saitamadaigaku.120179.1,35.865316,139.607335,Daisenintoori.120184.2
6,737,MinamiAzuka01,SeibuBus,2019-09-05T10:18:02+09:00,Saitamadaigaku.120179.1,35.865541,139.60750900000002,Daisenintoori.120184.2
7,737,MinamiAzuka01,SeibuBus,2019-09-05T10:18:26+09:00,Saitamadaigaku.120179.1,35.86575,139.608151,Daisenintoori.120184.2
8,737,MinamiAzuka01,SeibuBus,2019-09-05T10:18:51+09:00,Saitamadaigaku.120179.1,35.86640999999999,139.610477,Daisenintoori.120184.2
9,737,MinamiAzuka01,SeibuBus,2019-09-05T10:19:31+09:00,Saitamadaigaku.120179.1,35.867416,139.613967,Daisenintoori.120184.2
10,737,MinamiAzuka01,SeibuBus,2019-09-05T10:19:52+09:00,Daisenintoori.120184.2,35.867554999999996,139.61428,Sakawakitamachi.120177.2
11,737,MinamiAzuka01,SeibuBus,2019-09-05T10:20:17+09:00,Daisenintoori.120184.2,35.868146,139.61658899999998,Sakawakitamachi.120177.2
12,737,MinamiAzuka01,SeibuBus,2019-09-05T10:20:58+09:00,Daisenintoori.120184.2,35.868562,139.617839,Sakawakitamachi.120177.2
13,737,MinamiAzuka01,SeibuBus,2019-09-05T10:21:24+09:00,Sakawakitamachi.120177.2,35.868632,139.618134,Yamakubo.120176.2
14,737,MinamiAzuka01,SeibuBus,2019-09-05T10:21:49+09:00,Sakawakitamachi.120177.2,35.86884000000001,139.61903600000002,Yamakubo.120176.2
15,737,MinamiAzuka01,SeibuBus,2019-09-05T10:22:14+09:00,Sakawakitamachi.120177.2,35.868823,139.61910600000002,Yamakubo.120176.2
16,737,MinamiAzuka01,SeibuBus,2019-09-05T10:22:39+09:00,Sakawakitamachi.120177.2,35.869031,139.619748,Yamakubo.120176.2
17,737,MinamiAzuka01,SeibuBus,2019-09-05T10:23:29+09:00,Sakawakitamachi.120177.2,35.869396,139.61997399999998,Yamakubo.120176.2
18,737,MinamiAzuka01,SeibuBus,2019-09-05T10:24:19+09:00,Sakawakitamachi.120177.2,35.86915300000001,139.61990500000002,Yamakubo.120176.2
19,737,MinamiAzuka01,SeibuBus,2019-09-05T10:24:44+09:00,Sakawakitamachi.120177.2,35.869552,139.62145,Yamakubo.120176.2
20,737,MinamiAzuka01,SeibuBus,2019-09-05T10:25:30+09:00,Sakawakitamachi.120177.2,35.870212,139.623759,Yamakubo.120176.2
21,737,MinamiAzuka01,SeibuBus,2019-09-05T10:25:42+09:00,Sakawakitamachi.120177.2,35.87035,139.624418,Yamakubo.120176.2
22,737,MinamiAzuka01,SeibuBus,2019-09-05T10:26:24+09:00,Yamakubo.120176.2,35.870455,139.627075,Suzuyafudanotsuji.120175.2
23,737,MinamiAzuka01,SeibuBus,2019-09-05T10:26:47+09:00,Suzuyafudanotsuji.120175.2,35.870385,139.627543,Minamiyonoekinishiguchi.120180.0
24,737,MinamiAzuka01,SeibuBus,2019-09-05T10:27:14+09:00,Suzuyafudanotsuji.120175.2,35.870368,139.62778600000001,Minamiyonoekinishiguchi.120180.0
25,737,MinamiAzuka01,SeibuBus,2019-09-05T10:27:39+09:00,Suzuyafudanotsuji.120175.2,35.868736,139.628481,Minamiyonoekinishiguchi.120180.0
26,737,MinamiAzuka01,SeibuBus,2019-09-05T10:28:27+09:00,Suzuyafudanotsuji.120175.2,35.867971999999995,139.630547,Minamiyonoekinishiguchi.120180.0
27,737,MinamiAzuka01,SeibuBus,2019-09-05T10:28:53+09:00,Suzuyafudanotsuji.120175.2,35.867972,139.630547,Minamiyonoekinishiguchi.120180.0
