,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,560,Neri48-1,SeibuBus,2019-09-05T09:04:03+09:00,None,35.750124,139.58575,Ooizumigakuenekikitaguchi.30117.3
1,560,Neri48-1,SeibuBus,2019-09-05T09:04:28+09:00,None,35.749655,139.5866,Ooizumigakuenekikitaguchi.30117.3
2,560,Neri48-1,SeibuBus,2019-09-05T09:04:54+09:00,None,35.750158,139.587642,Ooizumigakuenekikitaguchi.30117.3
3,560,Neri48-1,SeibuBus,2019-09-05T09:05:10+09:00,None,35.750367,139.587937,Ooizumigakuenekikitaguchi.30117.3
4,560,Neri48-1,SeibuBus,2019-09-05T09:06:00+09:00,None,35.750367,139.587903,Ooizumigakuenekikitaguchi.30117.3
5,560,Neri48-1,SeibuBus,2019-09-05T09:06:25+09:00,None,35.750367,139.587903,Ooizumigakuenekikitaguchi.30117.3
6,560,Neri48-1,SeibuBus,2019-09-05T09:06:50+09:00,None,35.75038400000001,139.587903,Ooizumigakuenekikitaguchi.30117.3
7,560,Neri48-1,SeibuBus,2019-09-05T09:07:16+09:00,None,35.750367,139.58792,Ooizumigakuenekikitaguchi.30117.3
8,560,Neri48-1,SeibuBus,2019-09-05T09:07:41+09:00,None,35.750367,139.587903,Ooizumigakuenekikitaguchi.30117.3
9,560,Neri48-1,SeibuBus,2019-09-05T09:08:40+09:00,Ooizumigakuenekikitaguchi.30117.3,35.750575,139.588684,Myouenjimae.30039.1
10,560,Neri48-1,SeibuBus,2019-09-05T09:09:27+09:00,Ooizumigakuenekikitaguchi.30117.3,35.750853,139.58917,Myouenjimae.30039.1
11,560,Neri48-1,SeibuBus,2019-09-05T09:10:01+09:00,Myouenjimae.30039.1,35.750662,139.591653,Higashiooizuminichoume.30241.2
12,560,Neri48-1,SeibuBus,2019-09-05T09:10:26+09:00,Myouenjimae.30039.1,35.750731,139.592521,Higashiooizuminichoume.30241.2
13,560,Neri48-1,SeibuBus,2019-09-05T09:10:52+09:00,Myouenjimae.30039.1,35.75069699999999,139.593302,Higashiooizuminichoume.30241.2
14,560,Neri48-1,SeibuBus,2019-09-05T09:11:28+09:00,Higashiooizuminichoume.30241.2,35.750662,139.59509,Shimoyashiki.30240.2
15,560,Neri48-1,SeibuBus,2019-09-05T09:11:49+09:00,Higashiooizuminichoume.30241.2,35.750592,139.595489,Shimoyashiki.30240.2
16,560,Neri48-1,SeibuBus,2019-09-05T09:12:14+09:00,Higashiooizuminichoume.30241.2,35.75054,139.59696499999998,Shimoyashiki.30240.2
17,560,Neri48-1,SeibuBus,2019-09-05T09:12:39+09:00,Higashiooizuminichoume.30241.2,35.75054,139.596948,Shimoyashiki.30240.2
18,560,Neri48-1,SeibuBus,2019-09-05T09:13:29+09:00,Higashiooizuminichoume.30241.2,35.75055800000001,139.597451,Shimoyashiki.30240.2
