,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,700,NeriDaka02,SeibuBus,2019-09-05T08:26:23+09:00,Choukoujibashi.20052.2,35.740973,139.615433,Minamitanakagochoume.20051.2
1,700,NeriDaka02,SeibuBus,2019-09-05T08:26:52+09:00,Choukoujibashi.20052.2,35.74047,139.615277,Minamitanakagochoume.20051.2
2,700,NeriDaka02,SeibuBus,2019-09-05T08:27:17+09:00,Choukoujibashi.20052.2,35.73953200000001,139.615173,Minamitanakagochoume.20051.2
3,700,NeriDaka02,SeibuBus,2019-09-05T08:27:42+09:00,Choukoujibashi.20052.2,35.73859500000001,139.61508600000002,Minamitanakagochoume.20051.2
4,700,NeriDaka02,SeibuBus,2019-09-05T08:28:32+09:00,Choukoujibashi.20052.2,35.737952,139.61506799999998,Minamitanakagochoume.20051.2
5,700,NeriDaka02,SeibuBus,2019-09-05T08:28:57+09:00,Choukoujibashi.20052.2,35.737814,139.614999,Minamitanakagochoume.20051.2
6,700,NeriDaka02,SeibuBus,2019-09-05T08:30:01+09:00,Minamitanakagochoume.20051.2,35.737119,139.614947,Minamitanakayonchoume.20050.2
7,700,NeriDaka02,SeibuBus,2019-09-05T08:30:11+09:00,Minamitanakagochoume.20051.2,35.73677199999999,139.614895,Minamitanakayonchoume.20050.2
8,700,NeriDaka02,SeibuBus,2019-09-05T08:31:01+09:00,Minamitanakagochoume.20051.2,35.736373,139.614791,Minamitanakayonchoume.20050.2
9,700,NeriDaka02,SeibuBus,2019-09-05T08:31:26+09:00,Minamitanakagochoume.20051.2,35.73605999999999,139.614773,Minamitanakayonchoume.20050.2
10,700,NeriDaka02,SeibuBus,2019-09-05T08:31:51+09:00,Minamitanakagochoume.20051.2,35.735591,139.61477299999999,Minamitanakayonchoume.20050.2
11,700,NeriDaka02,SeibuBus,2019-09-05T08:32:31+09:00,Minamitanakagochoume.20051.2,35.734671,139.614686,Minamitanakayonchoume.20050.2
12,700,NeriDaka02,SeibuBus,2019-09-05T08:32:41+09:00,Minamitanakayonchoume.20050.2,35.73448,139.614669,Hachinaribashi.20049.1
13,700,NeriDaka02,SeibuBus,2019-09-05T08:33:15+09:00,Minamitanakayonchoume.20050.2,35.73406400000001,139.614652,Hachinaribashi.20049.1
14,700,NeriDaka02,SeibuBus,2019-09-05T08:34:30+09:00,Minamitanakayonchoume.20050.2,35.732275,139.614721,Hachinaribashi.20049.1
15,700,NeriDaka02,SeibuBus,2019-09-05T08:34:55+09:00,Minamitanakayonchoume.20050.2,35.73210200000001,139.61454799999998,Hachinaribashi.20049.1
16,700,NeriDaka02,SeibuBus,2019-09-05T08:35:20+09:00,Minamitanakayonchoume.20050.2,35.732119,139.61454799999998,Hachinaribashi.20049.1
17,700,NeriDaka02,SeibuBus,2019-09-05T08:35:46+09:00,Minamitanakayonchoume.20050.2,35.731702,139.61461699999998,Hachinaribashi.20049.1
18,700,NeriDaka02,SeibuBus,2019-09-05T08:36:11+09:00,Minamitanakayonchoume.20050.2,35.730696,139.614652,Hachinaribashi.20049.1
19,700,NeriDaka02,SeibuBus,2019-09-05T08:37:01+09:00,Minamitanakayonchoume.20050.2,35.730314,139.615277,Hachinaribashi.20049.1
20,700,NeriDaka02,SeibuBus,2019-09-05T08:37:26+09:00,Minamitanakayonchoume.20050.2,35.730314,139.615294,Hachinaribashi.20049.1
21,700,NeriDaka02,SeibuBus,2019-09-05T08:37:51+09:00,Minamitanakayonchoume.20050.2,35.730123,139.615329,Hachinaribashi.20049.1
22,700,NeriDaka02,SeibuBus,2019-09-05T08:39:02+09:00,Hachinaribashi.20049.1,35.731111999999996,139.618523,Minamitanakashako.20048.15
23,700,NeriDaka02,SeibuBus,2019-09-05T09:34:23+09:00,None,35.731965,139.619291,Minamitanakashako.20048.2
24,700,NeriDaka02,SeibuBus,2019-09-05T09:34:48+09:00,None,35.731618,139.61934399999998,Minamitanakashako.20048.2
25,700,NeriDaka02,SeibuBus,2019-09-05T09:35:50+09:00,None,35.731219,139.619187,Minamitanakashako.20048.2
26,700,NeriDaka02,SeibuBus,2019-09-05T09:36:23+09:00,Minamitanakashako.20048.2,35.730993,139.61805900000002,Hachinaribashi.20049.2
27,700,NeriDaka02,SeibuBus,2019-09-05T09:36:48+09:00,Minamitanakashako.20048.2,35.730611,139.616861,Hachinaribashi.20049.2
28,700,NeriDaka02,SeibuBus,2019-09-05T09:37:26+09:00,Hachinaribashi.20049.2,35.73010700000001,139.61575,Minamitanakayonchoume.20050.1
29,700,NeriDaka02,SeibuBus,2019-09-05T09:37:59+09:00,Hachinaribashi.20049.2,35.729969,139.614725,Minamitanakayonchoume.20050.1
30,700,NeriDaka02,SeibuBus,2019-09-05T09:38:24+09:00,Hachinaribashi.20049.2,35.73016,139.614465,Minamitanakayonchoume.20050.1
31,700,NeriDaka02,SeibuBus,2019-09-05T09:38:49+09:00,Hachinaribashi.20049.2,35.731392,139.614552,Minamitanakayonchoume.20050.1
32,700,NeriDaka02,SeibuBus,2019-09-05T09:39:30+09:00,Hachinaribashi.20049.2,35.734673,139.614587,Minamitanakayonchoume.20050.1
33,700,NeriDaka02,SeibuBus,2019-09-05T09:39:46+09:00,Minamitanakayonchoume.20050.1,35.734864,139.614604,Minamitanakagochoume.20051.1
34,700,NeriDaka02,SeibuBus,2019-09-05T09:40:20+09:00,Minamitanakagochoume.20051.1,35.737243,139.614882,Choukoujibashi.20052.1
35,700,NeriDaka02,SeibuBus,2019-09-05T09:41:03+09:00,Choukoujibashi.20052.1,35.74016,139.61516,Nerimatakanodaieki.20053.1
36,700,NeriDaka02,SeibuBus,2019-09-05T09:41:33+09:00,Choukoujibashi.20052.1,35.741236,139.615298,Nerimatakanodaieki.20053.1
37,700,NeriDaka02,SeibuBus,2019-09-05T09:41:58+09:00,Choukoujibashi.20052.1,35.741236,139.615298,Nerimatakanodaieki.20053.1
