,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
34,267,Ogi12-1,SeibuBus,2019-09-05T08:45:23+09:00,Hachinaribashi.20049.3,35.731931,139.619237,Minamitanakashako.20048.0
35,267,Ogi12-1,SeibuBus,2019-09-05T08:46:02+09:00,None,35.73127827623039,139.61947013988106,Minamitanakashako.20048.2
36,267,Ogi12-1,SeibuBus,2019-09-05T08:46:18+09:00,None,35.731202,139.61918500000002,Minamitanakashako.20048.2
39,267,Ogi12-1,SeibuBus,2019-09-05T08:48:33+09:00,Minamitanakashako.20048.2,35.73101099999999,139.618074,Hachinaribashi.20049.4
40,267,Ogi12-1,SeibuBus,2019-09-05T08:48:58+09:00,Minamitanakashako.20048.2,35.73056,139.61672,Hachinaribashi.20049.4
41,267,Ogi12-1,SeibuBus,2019-09-05T08:49:23+09:00,Minamitanakashako.20048.2,35.730404,139.616407,Hachinaribashi.20049.4
42,267,Ogi12-1,SeibuBus,2019-09-05T08:49:48+09:00,Minamitanakashako.20048.2,35.730126,139.61553899999998,Hachinaribashi.20049.4
43,267,Ogi12-1,SeibuBus,2019-09-05T08:50:30+09:00,Minamitanakashako.20048.2,35.7297880884514,139.61445806745905,Hachinaribashi.20049.4
44,267,Ogi12-1,SeibuBus,2019-09-05T08:50:55+09:00,Hachinaribashi.20049.4,35.729431,139.614619,Igusamorikouen.20120.1
45,267,Ogi12-1,SeibuBus,2019-09-05T08:51:24+09:00,Hachinaribashi.20049.4,35.728963,139.614584,Igusamorikouen.20120.1
46,267,Ogi12-1,SeibuBus,2019-09-05T08:51:49+09:00,Hachinaribashi.20049.4,35.728772,139.614602,Igusamorikouen.20120.1
47,267,Ogi12-1,SeibuBus,2019-09-05T08:52:39+09:00,Hachinaribashi.20049.4,35.72847700000001,139.614532,Igusamorikouen.20120.1
48,267,Ogi12-1,SeibuBus,2019-09-05T08:53:30+09:00,Igusamorikouen.20120.1,35.727244,139.614584,Iogieki.20121.1
49,267,Ogi12-1,SeibuBus,2019-09-05T08:53:44+09:00,Igusamorikouen.20120.1,35.726723,139.61448,Iogieki.20121.1
50,267,Ogi12-1,SeibuBus,2019-09-05T08:54:26+09:00,Igusamorikouen.20120.1,35.723806,139.614307,Iogieki.20121.1
57,267,Ogi12-1,SeibuBus,2019-09-05T08:58:31+09:00,Shimoigusagochoume.20122.1,35.721445,139.614237,Shimizusanchoume.20123.1
58,267,Ogi12-1,SeibuBus,2019-09-05T08:58:49+09:00,Shimoigusagochoume.20122.1,35.721011,139.61418500000002,Shimizusanchoume.20123.1
59,267,Ogi12-1,SeibuBus,2019-09-05T08:59:14+09:00,Shimoigusagochoume.20122.1,35.719813,139.614116,Shimizusanchoume.20123.1
60,267,Ogi12-1,SeibuBus,2019-09-05T08:59:39+09:00,Shimoigusagochoume.20122.1,35.719727,139.614046,Shimizusanchoume.20123.1
61,267,Ogi12-1,SeibuBus,2019-09-05T09:00:29+09:00,Shimoigusagochoume.20122.1,35.71955300000001,139.61409799999998,Shimizusanchoume.20123.1
62,267,Ogi12-1,SeibuBus,2019-09-05T09:01:00+09:00,Shimizusanchoume.20123.1,35.718424,139.61428899999999,Shimizunichoume.20124.1
63,267,Ogi12-1,SeibuBus,2019-09-05T09:01:13+09:00,Shimizusanchoume.20123.1,35.717869,139.614307,Shimizunichoume.20124.1
64,267,Ogi12-1,SeibuBus,2019-09-05T09:02:03+09:00,Shimizusanchoume.20123.1,35.715404,139.61441100000002,Shimizunichoume.20124.1
65,267,Ogi12-1,SeibuBus,2019-09-05T09:02:32+09:00,Shimizusanchoume.20123.1,35.71446599999999,139.614532,Shimizunichoume.20124.1
66,267,Ogi12-1,SeibuBus,2019-09-05T09:03:26+09:00,Shimizunichoume.20124.1,35.713945,139.614567,Shimizuicchoume.20125.1
