,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,451,Taka21,SeibuBus,2019-09-05T08:26:28+09:00,Inarijinjamae.30197.1,35.71313,139.562011,Musashinoeigyoushomae.30196.1
1,451,Taka21,SeibuBus,2019-09-05T08:26:58+09:00,Inarijinjamae.30197.1,35.713060999999996,139.56233999999998,Musashinoeigyoushomae.30196.1
2,451,Taka21,SeibuBus,2019-09-05T08:27:23+09:00,Musashinoeigyoushomae.30196.1,35.713061,139.562445,Shimimbunkakaikaniriguchi.30195.1
3,451,Taka21,SeibuBus,2019-09-05T08:27:43+09:00,Musashinoeigyoushomae.30196.1,35.712957,139.562879,Shimimbunkakaikaniriguchi.30195.1
4,451,Taka21,SeibuBus,2019-09-05T08:28:33+09:00,Musashinoeigyoushomae.30196.1,35.712801,139.56360800000002,Shimimbunkakaikaniriguchi.30195.1
5,451,Taka21,SeibuBus,2019-09-05T08:28:59+09:00,Musashinoeigyoushomae.30196.1,35.712801,139.563625,Shimimbunkakaikaniriguchi.30195.1
6,451,Taka21,SeibuBus,2019-09-05T08:29:56+09:00,Musashinoeigyoushomae.30196.1,35.712176,139.563955,Shimimbunkakaikaniriguchi.30195.1
7,451,Taka21,SeibuBus,2019-09-05T08:30:19+09:00,Shimimbunkakaikaniriguchi.30195.1,35.711689,139.563625,Hokenjomae.30194.1
8,451,Taka21,SeibuBus,2019-09-05T08:31:00+09:00,Hokenjomae.30194.1,35.710196,139.562722,Nishikubonichoume.30193.1
9,451,Taka21,SeibuBus,2019-09-05T08:31:22+09:00,Hokenjomae.30194.1,35.708929,139.562028,Nishikubonichoume.30193.1
10,451,Taka21,SeibuBus,2019-09-05T08:31:44+09:00,Nishikubonichoume.30193.1,35.708894,139.561924,Yokokawairiguchi.30236.1
11,451,Taka21,SeibuBus,2019-09-05T08:32:29+09:00,Nishikubonichoume.30193.1,35.708391,139.561681,Yokokawairiguchi.30236.1
12,451,Taka21,SeibuBus,2019-09-05T08:33:02+09:00,Yokokawairiguchi.30236.1,35.707627,139.561229,Keisatsumae.30192.1
13,451,Taka21,SeibuBus,2019-09-05T08:33:27+09:00,Yokokawairiguchi.30236.1,35.706203,139.56053500000002,Keisatsumae.30192.1
14,451,Taka21,SeibuBus,2019-09-05T08:34:15+09:00,Keisatsumae.30192.1,35.70537,139.560709,Mitakaeki.30191.15
15,451,Taka21,SeibuBus,2019-09-05T08:35:01+09:00,Keisatsumae.30192.1,35.703547,139.56095200000001,Mitakaeki.30191.15
16,451,Taka21,SeibuBus,2019-09-05T08:35:26+09:00,Keisatsumae.30192.1,35.70346,139.56102099999998,Mitakaeki.30191.15
17,451,Taka21,SeibuBus,2019-09-05T08:36:02+09:00,Keisatsumae.30192.1,35.703235,139.560847,Mitakaeki.30191.15
18,451,Taka21,SeibuBus,2019-09-05T08:36:21+09:00,None,35.70313,139.560518,Mitakaeki.30191.1
19,451,Taka21,SeibuBus,2019-09-05T08:36:53+09:00,None,35.70346,139.56041299999998,Mitakaeki.30191.1
20,451,Taka21,SeibuBus,2019-09-05T08:37:23+09:00,Mitakaeki.30191.1,35.70347800000001,139.560379,Toukyuusutoamae.30237.2
21,451,Taka21,SeibuBus,2019-09-05T08:37:52+09:00,Toukyuusutoamae.30237.2,35.70471,139.560483,Keisatsumae.30192.2
22,451,Taka21,SeibuBus,2019-09-05T08:38:57+09:00,Toukyuusutoamae.30237.2,35.705578,139.5605,Keisatsumae.30192.2
23,451,Taka21,SeibuBus,2019-09-05T08:39:22+09:00,Toukyuusutoamae.30237.2,35.705613,139.560483,Keisatsumae.30192.2
24,451,Taka21,SeibuBus,2019-09-05T08:39:57+09:00,Keisatsumae.30192.2,35.706585,139.560622,Yokokawairiguchi.30236.2
25,451,Taka21,SeibuBus,2019-09-05T08:40:30+09:00,Keisatsumae.30192.2,35.70717600000001,139.561038,Yokokawairiguchi.30236.2
26,451,Taka21,SeibuBus,2019-09-05T08:40:59+09:00,Yokokawairiguchi.30236.2,35.707714,139.561264,Nishikubonichoume.30193.2
27,451,Taka21,SeibuBus,2019-09-05T08:41:21+09:00,Nishikubonichoume.30193.2,35.70903300000001,139.562028,Hokenjomae.30194.2
28,451,Taka21,SeibuBus,2019-09-05T08:41:42+09:00,Hokenjomae.30194.2,35.710509,139.562879,Shimimbunkakaikaniriguchi.30195.2
29,451,Taka21,SeibuBus,2019-09-05T08:43:01+09:00,Hokenjomae.30194.2,35.712123,139.563886,Shimimbunkakaikaniriguchi.30195.2
30,451,Taka21,SeibuBus,2019-09-05T08:43:33+09:00,Shimimbunkakaikaniriguchi.30195.2,35.712436,139.564129,Musashinoeigyoushomae.30196.2
31,451,Taka21,SeibuBus,2019-09-05T08:43:58+09:00,Shimimbunkakaikaniriguchi.30195.2,35.712436,139.563955,Musashinoeigyoushomae.30196.2
32,451,Taka21,SeibuBus,2019-09-05T08:44:26+09:00,Shimimbunkakaikaniriguchi.30195.2,35.712714,139.564059,Musashinoeigyoushomae.30196.2
33,451,Taka21,SeibuBus,2019-09-05T08:44:52+09:00,Musashinoeigyoushomae.30196.2,35.71313,139.562028,Inarijinjamae.30197.2
34,451,Taka21,SeibuBus,2019-09-05T08:45:33+09:00,Musashinoeigyoushomae.30196.2,35.713321,139.561143,Inarijinjamae.30197.2
