,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
25,262,Yado20,SeibuBus,2019-09-05T08:40:10+09:00,Shinjukuekinishiguchi.20023.1,35.691727,139.69917,Toukyouidaibyouimmae.20022.2
26,262,Yado20,SeibuBus,2019-09-05T08:40:44+09:00,Shinjukuekinishiguchi.20023.1,35.692422,139.69766,Toukyouidaibyouimmae.20022.2
27,262,Yado20,SeibuBus,2019-09-05T08:41:09+09:00,Shinjukuekinishiguchi.20023.1,35.693012,139.69720800000002,Toukyouidaibyouimmae.20022.2
28,262,Yado20,SeibuBus,2019-09-05T08:41:59+09:00,Shinjukuekinishiguchi.20023.1,35.69322829834344,139.69688366997525,Toukyouidaibyouimmae.20022.2
29,262,Yado20,SeibuBus,2019-09-05T08:42:49+09:00,Shinjukuekinishiguchi.20023.1,35.69355,139.69535,Toukyouidaibyouimmae.20022.2
30,262,Yado20,SeibuBus,2019-09-05T08:43:15+09:00,Shinjukuekinishiguchi.20023.1,35.69362,139.695177,Toukyouidaibyouimmae.20022.2
31,262,Yado20,SeibuBus,2019-09-05T08:43:56+09:00,Toukyouidaibyouimmae.20022.2,35.694835,139.69151399999998,Narukozakashita.20021.2
32,262,Yado20,SeibuBus,2019-09-05T08:44:30+09:00,Toukyouidaibyouimmae.20022.2,35.69556400000001,139.689448,Narukozakashita.20021.2
33,262,Yado20,SeibuBus,2019-09-05T08:44:59+09:00,Narukozakashita.20021.2,35.695512,139.68943000000002,Nakanosakaue.20020.2
34,262,Yado20,SeibuBus,2019-09-05T08:45:29+09:00,Narukozakashita.20021.2,35.696155,139.687364,Nakanosakaue.20020.2
35,262,Yado20,SeibuBus,2019-09-05T08:45:54+09:00,Narukozakashita.20021.2,35.69638,139.686427,Nakanosakaue.20020.2
36,262,Yado20,SeibuBus,2019-09-05T08:46:19+09:00,Narukozakashita.20021.2,35.69638,139.686444,Nakanosakaue.20020.2
37,262,Yado20,SeibuBus,2019-09-05T08:46:44+09:00,Narukozakashita.20021.2,35.696502,139.685177,Nakanosakaue.20020.2
38,262,Yado20,SeibuBus,2019-09-05T08:48:00+09:00,Narukozakashita.20021.2,35.69696959144752,139.6829773214264,Nakanosakaue.20020.2
44,262,Yado20,SeibuBus,2019-09-05T08:50:52+09:00,Nakanosakaue.20020.2,35.697769,139.68283300000002,Miyashitakousaten.20019.2
45,262,Yado20,SeibuBus,2019-09-05T08:51:17+09:00,Nakanosakaue.20020.2,35.698168,139.68292,Miyashitakousaten.20019.2
46,262,Yado20,SeibuBus,2019-09-05T08:51:42+09:00,Nakanosakaue.20020.2,35.699557,139.683007,Miyashitakousaten.20019.2
47,262,Yado20,SeibuBus,2019-09-05T08:52:57+09:00,Miyashitakousaten.20019.2,35.700755,139.682937,Namikidoori.20018.2
48,262,Yado20,SeibuBus,2019-09-05T08:53:22+09:00,Miyashitakousaten.20019.2,35.70070300000001,139.68292,Namikidoori.20018.2
49,262,Yado20,SeibuBus,2019-09-05T08:54:03+09:00,Miyashitakousaten.20019.2,35.702439,139.682278,Namikidoori.20018.2
50,262,Yado20,SeibuBus,2019-09-05T08:54:21+09:00,Miyashitakousaten.20019.2,35.703793,139.682278,Namikidoori.20018.2
51,262,Yado20,SeibuBus,2019-09-05T08:54:48+09:00,Namikidoori.20018.2,35.704158,139.682451,Higashinakano.20017.2
52,262,Yado20,SeibuBus,2019-09-05T08:55:13+09:00,Namikidoori.20018.2,35.704905,139.68260700000002,Higashinakano.20017.2
53,262,Yado20,SeibuBus,2019-09-05T08:55:57+09:00,Higashinakano.20017.2,35.705512,139.682625,Ochiai.20016.2
54,262,Yado20,SeibuBus,2019-09-05T08:56:22+09:00,Higashinakano.20017.2,35.706554,139.68285,Ochiai.20016.2
55,262,Yado20,SeibuBus,2019-09-05T08:56:47+09:00,Higashinakano.20017.2,35.708568,139.683805,Ochiai.20016.2
56,262,Yado20,SeibuBus,2019-09-05T08:57:25+09:00,Ochiai.20016.2,35.709748,139.68434399999998,Kamiochiainichoume.20015.2
57,262,Yado20,SeibuBus,2019-09-05T08:58:32+09:00,Ochiai.20016.2,35.710078,139.68441299999998,Kamiochiainichoume.20015.2
58,262,Yado20,SeibuBus,2019-09-05T08:58:57+09:00,Ochiai.20016.2,35.710269,139.684482,Kamiochiainichoume.20015.2
59,262,Yado20,SeibuBus,2019-09-05T08:59:15+09:00,Ochiai.20016.2,35.71171,139.685194,Kamiochiainichoume.20015.2
60,262,Yado20,SeibuBus,2019-09-05T08:59:58+09:00,Kamiochiainichoume.20015.2,35.713845,139.686114,Nakaieki.20014.2
61,262,Yado20,SeibuBus,2019-09-05T09:00:23+09:00,Kamiochiainichoume.20015.2,35.715286,139.686878,Nakaieki.20014.2
62,262,Yado20,SeibuBus,2019-09-05T09:00:48+09:00,Kamiochiainichoume.20015.2,35.715981,139.68719099999998,Nakaieki.20014.2
63,262,Yado20,SeibuBus,2019-09-05T09:01:15+09:00,Nakaieki.20014.2,35.716675,139.687451,Nakaochiai.20013.2
64,262,Yado20,SeibuBus,2019-09-05T09:01:49+09:00,Nakaieki.20014.2,35.718568,139.68866599999998,Nakaochiai.20013.2
65,262,Yado20,SeibuBus,2019-09-05T09:02:24+09:00,Nakaochiai.20013.2,35.718568,139.688684,Nakaochiainichoume.20012.2
66,262,Yado20,SeibuBus,2019-09-05T09:03:14+09:00,Nakaochiai.20013.2,35.718585,139.688701,Nakaochiainichoume.20012.2
67,262,Yado20,SeibuBus,2019-09-05T09:03:54+09:00,Nakaochiainichoume.20012.2,35.720339,139.690368,Mejirogochoume.20010.2
68,262,Yado20,SeibuBus,2019-09-05T09:04:19+09:00,Nakaochiainichoume.20012.2,35.721918,139.691948,Mejirogochoume.20010.2
69,262,Yado20,SeibuBus,2019-09-05T09:04:44+09:00,Nakaochiainichoume.20012.2,35.721988,139.691948,Mejirogochoume.20010.2
70,262,Yado20,SeibuBus,2019-09-05T09:05:09+09:00,Nakaochiainichoume.20012.2,35.722493981935244,139.69266635714723,Mejirogochoume.20010.2
71,262,Yado20,SeibuBus,2019-09-05T09:05:59+09:00,Nakaochiainichoume.20012.2,35.722509,139.693094,Mejirogochoume.20010.2
