,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,640,Yoshi60,SeibuBus,2019-09-05T08:26:17+09:00,Koushinduka.35003.2,35.739087,139.588298,Fujikaidou.35002.3
1,640,Yoshi60,SeibuBus,2019-09-05T08:26:50+09:00,Koushinduka.35003.2,35.739348,139.58902700000002,Fujikaidou.35002.3
2,640,Yoshi60,SeibuBus,2019-09-05T08:27:16+09:00,Fujikaidou.35002.3,35.739452,139.589426,Shakujiidanchiiriguchi.30061.1
3,640,Yoshi60,SeibuBus,2019-09-05T08:27:59+09:00,Shakujiidanchiiriguchi.30061.1,35.740407,139.592551,Shakujiiyuubinkyoku.30062.1
4,640,Yoshi60,SeibuBus,2019-09-05T08:28:33+09:00,Shakujiiyuubinkyoku.30062.1,35.740876,139.594148,Shakujiichuugakkou.30063.1
5,640,Yoshi60,SeibuBus,2019-09-05T08:28:56+09:00,Shakujiiyuubinkyoku.30062.1,35.741553,139.595902,Shakujiichuugakkou.30063.1
6,640,Yoshi60,SeibuBus,2019-09-05T08:29:51+09:00,Shakujiichuugakkou.30063.1,35.74165700000001,139.596579,Shakujiikeisatsusho.30066.2
7,640,Yoshi60,SeibuBus,2019-09-05T08:30:16+09:00,Shakujiichuugakkou.30063.1,35.741917,139.59729099999998,Shakujiikeisatsusho.30066.2
8,640,Yoshi60,SeibuBus,2019-09-05T08:30:51+09:00,Shakujiichuugakkou.30063.1,35.742508,139.59887,Shakujiikeisatsusho.30066.2
9,640,Yoshi60,SeibuBus,2019-09-05T08:31:17+09:00,Shakujiikeisatsusho.30066.2,35.742612,139.599218,Shakujiichoushamae.30067.2
10,640,Yoshi60,SeibuBus,2019-09-05T08:31:59+09:00,Shakujiikeisatsusho.30066.2,35.743688,139.602811,Shakujiichoushamae.30067.2
11,640,Yoshi60,SeibuBus,2019-09-05T08:32:25+09:00,Shakujiichoushamae.30067.2,35.743653,139.602881,Shakujiikouenekikitaguchi.30049.2
12,640,Yoshi60,SeibuBus,2019-09-05T08:32:50+09:00,Shakujiichoushamae.30067.2,35.743792,139.603141,Shakujiikouenekikitaguchi.30049.2
13,640,Yoshi60,SeibuBus,2019-09-05T08:33:15+09:00,Shakujiichoushamae.30067.2,35.744087,139.603957,Shakujiikouenekikitaguchi.30049.2
14,640,Yoshi60,SeibuBus,2019-09-05T08:34:26+09:00,Shakujiichoushamae.30067.2,35.744859,139.606356,Shakujiikouenekikitaguchi.30049.2
15,640,Yoshi60,SeibuBus,2019-09-05T08:34:40+09:00,Shakujiikouenekikitaguchi.30049.2,35.744075,139.606823,Kouwashougakkou.30048.1
16,640,Yoshi60,SeibuBus,2019-09-05T08:35:31+09:00,Shakujiikouenekikitaguchi.30049.2,35.744075,139.606823,Kouwashougakkou.30048.1
17,640,Yoshi60,SeibuBus,2019-09-05T08:35:56+09:00,Shakujiikouenekikitaguchi.30049.2,35.744859,139.606356,Kouwashougakkou.30048.1
18,640,Yoshi60,SeibuBus,2019-09-05T08:36:21+09:00,Shakujiikouenekikitaguchi.30049.2,35.745164,139.607395,Kouwashougakkou.30048.1
19,640,Yoshi60,SeibuBus,2019-09-05T08:36:46+09:00,Shakujiikouenekikitaguchi.30049.2,35.745351,139.607955,Kouwashougakkou.30048.1
20,640,Yoshi60,SeibuBus,2019-09-05T08:37:27+09:00,Shakujiikouenekikitaguchi.30049.2,35.746379,139.607985,Kouwashougakkou.30048.1
21,640,Yoshi60,SeibuBus,2019-09-05T08:37:44+09:00,Kouwashougakkou.30048.1,35.74660499999999,139.608002,Wada.30047.1
22,640,Yoshi60,SeibuBus,2019-09-05T08:39:01+09:00,Wada.30047.1,35.750199,139.607482,Miharadaiicchoume.30046.1
23,640,Yoshi60,SeibuBus,2019-09-05T08:39:33+09:00,Wada.30047.1,35.750997,139.607516,Miharadaiicchoume.30046.1
24,640,Yoshi60,SeibuBus,2019-09-05T08:39:42+09:00,Miharadaiicchoume.30046.1,35.751292,139.607551,Yaharagochoume.30045.1
25,640,Yoshi60,SeibuBus,2019-09-05T08:40:32+09:00,Yaharagochoume.30045.1,35.752247,139.607586,Sangendera.30043.1
26,640,Yoshi60,SeibuBus,2019-09-05T08:40:45+09:00,Yaharagochoume.30045.1,35.75297600000001,139.607655,Sangendera.30043.1
27,640,Yoshi60,SeibuBus,2019-09-05T08:41:10+09:00,Yaharagochoume.30045.1,35.754500,139.607644,Sangendera.30043.1
28,640,Yoshi60,SeibuBus,2019-09-05T08:42:01+09:00,Yaharagochoume.30045.1,35.754313,139.608488,Sangendera.30043.1
29,640,Yoshi60,SeibuBus,2019-09-05T08:43:01+09:00,Sangendera.30043.1,35.753358,139.611874,Yaharachuugakkou.30044.1
30,640,Yoshi60,SeibuBus,2019-09-05T08:43:31+09:00,Sangendera.30043.1,35.752612,139.614322,Yaharachuugakkou.30044.1
31,640,Yoshi60,SeibuBus,2019-09-05T08:43:53+09:00,Yaharachuugakkou.30044.1,35.752629,139.614322,Yaharasanchoume.20069.3
32,640,Yoshi60,SeibuBus,2019-09-05T08:44:09+09:00,Yaharachuugakkou.30044.1,35.75247299999999,139.614756,Yaharasanchoume.20069.3
33,640,Yoshi60,SeibuBus,2019-09-05T08:44:59+09:00,Yaharachuugakkou.30044.1,35.751344,139.618367,Yaharasanchoume.20069.3
34,640,Yoshi60,SeibuBus,2019-09-05T08:45:31+09:00,Yaharachuugakkou.30044.1,35.751117,139.619210,Yaharasanchoume.20069.3
35,640,Yoshi60,SeibuBus,2019-09-05T08:45:56+09:00,Yaharasanchoume.20069.3,35.751657,139.619287,Hikarigaokaminamiiriguchi.20111.1
36,640,Yoshi60,SeibuBus,2019-09-05T08:46:29+09:00,Yaharasanchoume.20069.3,35.75407,139.619982,Hikarigaokaminamiiriguchi.20111.1
37,640,Yoshi60,SeibuBus,2019-09-05T08:46:57+09:00,Hikarigaokaminamiiriguchi.20111.1,35.754782,139.620155,Takamatsugochoume.20112.1
38,640,Yoshi60,SeibuBus,2019-09-05T08:47:58+09:00,Takamatsugochoume.20112.1,35.758046,139.620589,Takamatsudaimondoori.20113.1
39,640,Yoshi60,SeibuBus,2019-09-05T08:48:23+09:00,Takamatsugochoume.20112.1,35.758167,139.620624,Takamatsudaimondoori.20113.1
40,640,Yoshi60,SeibuBus,2019-09-05T08:48:50+09:00,Takamatsugochoume.20112.1,35.758393,139.620607,Takamatsudaimondoori.20113.1
41,640,Yoshi60,SeibuBus,2019-09-05T08:49:28+09:00,Takamatsugochoume.20112.1,35.76098,139.620225,Takamatsudaimondoori.20113.1
42,640,Yoshi60,SeibuBus,2019-09-05T08:49:52+09:00,Takamatsudaimondoori.20113.1,35.761449,139.620173,Asahichouicchoume.20114.1
43,640,Yoshi60,SeibuBus,2019-09-05T08:50:27+09:00,Asahichouicchoume.20114.1,35.763237,139.619791,Doshidakouban.20115.1
44,640,Yoshi60,SeibuBus,2019-09-05T08:50:59+09:00,Asahichouicchoume.20114.1,35.764556,139.619652,Doshidakouban.20115.1
45,640,Yoshi60,SeibuBus,2019-09-05T08:51:24+09:00,Asahichouicchoume.20114.1,35.764556,139.619669,Doshidakouban.20115.1
46,640,Yoshi60,SeibuBus,2019-09-05T08:51:49+09:00,Asahichouicchoume.20114.1,35.767471,139.619768,Doshidakouban.20115.1
47,640,Yoshi60,SeibuBus,2019-09-05T08:52:53+09:00,Doshidakouban.20115.1,35.768376,139.620711,Shirakomukaiyama.20116.1
48,640,Yoshi60,SeibuBus,2019-09-05T08:53:15+09:00,Shirakomukaiyama.20116.1,35.769886,139.62223799999998,Gobou.20118.1
49,640,Yoshi60,SeibuBus,2019-09-05T08:53:54+09:00,Shirakomukaiyama.20116.1,35.772247,139.624634,Gobou.20118.1
50,640,Yoshi60,SeibuBus,2019-09-05T08:54:18+09:00,Gobou.20118.1,35.775566,139.625851,Asahichousanchoume.20107.1
51,640,Yoshi60,SeibuBus,2019-09-05T08:55:04+09:00,Asahichousanchoume.20107.1,35.776358,139.625636,Asahichou.20105.1
52,640,Yoshi60,SeibuBus,2019-09-05T08:55:29+09:00,Asahichousanchoume.20107.1,35.776119,139.625745,Asahichou.20105.1
53,640,Yoshi60,SeibuBus,2019-09-05T08:55:54+09:00,Asahichousanchoume.20107.1,35.776362,139.62637,Asahichou.20105.1
