,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,34,Sayama22-1,SeibuBus,2019-09-05T08:26:10+09:00,Sayamakougyoudanchi.130205.1,35.86842105734754,139.38946864418028,Musashinogakuindaigaku.130206.15
1,34,Sayama22-1,SeibuBus,2019-09-05T08:27:00+09:00,Sayamakougyoudanchi.130205.1,35.86779638867902,139.3869438981476,Musashinogakuindaigaku.130206.15
2,34,Sayama22-1,SeibuBus,2019-09-05T08:27:33+09:00,Sayamakougyoudanchi.130205.1,35.86902817432705,139.38604674470525,Musashinogakuindaigaku.130206.15
3,34,Sayama22-1,SeibuBus,2019-09-05T08:27:46+09:00,Sayamakougyoudanchi.130205.1,35.872302816661076,139.39259939286808,Musashinogakuindaigaku.130206.15
4,34,Sayama22-1,SeibuBus,2019-09-05T08:28:11+09:00,Sayamakougyoudanchi.130205.1,35.87134792944827,139.39340320104975,Musashinogakuindaigaku.130206.15
5,34,Sayama22-1,SeibuBus,2019-09-05T08:29:03+09:00,None,35.86714525127788,139.39813540740965,Musashinogakuindaigaku.130206.1
6,34,Sayama22-1,SeibuBus,2019-09-05T08:29:55+09:00,None,35.86589491338582,139.39885766137695,Musashinogakuindaigaku.130206.1
7,34,Sayama22-1,SeibuBus,2019-09-05T08:30:20+09:00,None,35.8637944623526,139.3989600171967,Musashinogakuindaigaku.130206.1
8,34,Sayama22-1,SeibuBus,2019-09-05T08:30:45+09:00,None,35.86245747463329,139.396057728836,Musashinogakuindaigaku.130206.1
9,34,Sayama22-1,SeibuBus,2019-09-05T08:31:10+09:00,None,35.86191945597614,139.39477991401668,Musashinogakuindaigaku.130206.1
10,34,Sayama22-1,SeibuBus,2019-09-05T08:32:01+09:00,None,35.86129471757057,139.39399644180298,Musashinogakuindaigaku.130206.1
11,34,Sayama22-1,SeibuBus,2019-09-05T08:32:26+09:00,None,35.860584727189355,139.3925224391479,Musashinogakuindaigaku.130206.1
12,34,Sayama22-1,SeibuBus,2019-09-05T08:32:51+09:00,None,35.8582303109633,139.39433739021297,Musashinogakuindaigaku.130206.1
13,34,Sayama22-1,SeibuBus,2019-09-05T08:33:16+09:00,None,35.861320511036524,139.4018581534424,Musashinogakuindaigaku.130206.1
14,34,Sayama22-1,SeibuBus,2019-09-05T08:34:31+09:00,None,35.85959261933453,139.4053605264587,Musashinogakuindaigaku.130206.1
15,34,Sayama22-1,SeibuBus,2019-09-05T08:34:56+09:00,None,35.857934310184035,139.40785278042608,Musashinogakuindaigaku.130206.1
16,34,Sayama22-1,SeibuBus,2019-09-05T08:35:21+09:00,None,35.86053145315385,139.41085954365542,Musashinogakuindaigaku.130206.1
17,34,Sayama22-1,SeibuBus,2019-09-05T08:35:47+09:00,None,35.85814246500785,139.41281574736024,Musashinogakuindaigaku.130206.1
18,34,Sayama22-1,SeibuBus,2019-09-05T08:36:12+09:00,None,35.857054549932165,139.41280925662227,Musashinogakuindaigaku.130206.1
19,34,Sayama22-1,SeibuBus,2019-09-05T08:37:02+09:00,None,35.85718030449733,139.4120404576721,Musashinogakuindaigaku.130206.1
