,busNumber,busroute,company,date,fromBusstopPole,lat,long,toBusstopPole
0,184,Bushi01,SeibuBus,2019-09-05T08:26:17+09:00,None,35.837812,139.359519,Bushieki.160161.1
1,184,Bushi01,SeibuBus,2019-09-05T08:26:53+09:00,None,35.837865,139.359485,Bushieki.160161.1
2,184,Bushi01,SeibuBus,2019-09-05T08:27:18+09:00,None,35.83783,139.359519,Bushieki.160161.1
3,184,Bushi01,SeibuBus,2019-09-05T08:27:43+09:00,None,35.837847,139.359554,Bushieki.160161.1
4,184,Bushi01,SeibuBus,2019-09-05T08:28:33+09:00,None,35.837899,139.35953700000002,Bushieki.160161.1
5,184,Bushi01,SeibuBus,2019-09-05T08:28:58+09:00,None,35.837882,139.35953700000002,Bushieki.160161.1
6,184,Bushi01,SeibuBus,2019-09-05T08:29:48+09:00,None,35.837917,139.359519,Bushieki.160161.1
7,184,Bushi01,SeibuBus,2019-09-05T08:30:26+09:00,Bushieki.160161.1,35.838194,139.35945,Bushiekiiriguchi.160162.3
8,184,Bushi01,SeibuBus,2019-09-05T08:30:51+09:00,Bushieki.160161.1,35.838368,139.359259,Bushiekiiriguchi.160162.3
9,184,Bushi01,SeibuBus,2019-09-05T08:31:16+09:00,Bushieki.160161.1,35.838403,139.359294,Bushiekiiriguchi.160162.3
10,184,Bushi01,SeibuBus,2019-09-05T08:31:58+09:00,Bushiekiiriguchi.160162.3,35.83935800000001,139.358599,Nakabashiminami.160163.1
11,184,Bushi01,SeibuBus,2019-09-05T08:32:23+09:00,Bushiekiiriguchi.160162.3,35.84026,139.358113,Nakabashiminami.160163.1
12,184,Bushi01,SeibuBus,2019-09-05T08:33:01+09:00,Nakabashiminami.160163.1,35.84059,139.356985,Nakabashi.160164.1
13,184,Bushi01,SeibuBus,2019-09-05T08:33:26+09:00,Nakabashiminami.160163.1,35.840677,139.356498,Nakabashi.160164.1
14,184,Bushi01,SeibuBus,2019-09-05T08:34:16+09:00,Nakabashiminami.160163.1,35.84126699999999,139.356099,Nakabashi.160164.1
15,184,Bushi01,SeibuBus,2019-09-05T08:34:58+09:00,Nakabashiminami.160163.1,35.842622,139.355943,Nakabashi.160164.1
16,184,Bushi01,SeibuBus,2019-09-05T08:35:32+09:00,Nakabashi.160164.1,35.84342,139.355873,Shimogou.160165.1
17,184,Bushi01,SeibuBus,2019-09-05T08:35:57+09:00,Nakabashi.160164.1,35.84342,139.355908,Shimogou.160165.1
18,184,Bushi01,SeibuBus,2019-09-05T08:36:22+09:00,Nakabashi.160164.1,35.84375,139.355821,Shimogou.160165.1
19,184,Bushi01,SeibuBus,2019-09-05T08:36:53+09:00,Shimogou.160165.1,35.845781,139.355717,Hinoue.160166.1
20,184,Bushi01,SeibuBus,2019-09-05T08:37:18+09:00,Shimogou.160165.1,35.845764,139.355683,Hinoue.160166.1
21,184,Bushi01,SeibuBus,2019-09-05T08:37:43+09:00,Shimogou.160165.1,35.845694,139.355717,Hinoue.160166.1
22,184,Bushi01,SeibuBus,2019-09-05T08:39:04+09:00,Shimogou.160165.1,35.850938,139.355509,Hinoue.160166.1
23,184,Bushi01,SeibuBus,2019-09-05T08:39:30+09:00,Hinoue.160166.1,35.850972,139.355509,Seibubushinyu-tauniriguchi.160167.1
24,184,Bushi01,SeibuBus,2019-09-05T08:40:02+09:00,Hinoue.160166.1,35.851337,139.356915,Seibubushinyu-tauniriguchi.160167.1
25,184,Bushi01,SeibuBus,2019-09-05T08:40:16+09:00,Seibubushinyu-tauniriguchi.160167.1,35.851458,139.358148,Bushinyu-taumminami.160168.1
26,184,Bushi01,SeibuBus,2019-09-05T08:40:51+09:00,Bushinyu-taumminami.160168.1,35.852483,139.360804,Shinkouchuuoukouen.160169.1
27,184,Bushi01,SeibuBus,2019-09-05T08:41:16+09:00,Bushinyu-taumminami.160168.1,35.853958,139.36063000000001,Shinkouchuuoukouen.160169.1
28,184,Bushi01,SeibuBus,2019-09-05T08:41:54+09:00,Shinkouchuuoukouen.160169.1,35.85651,139.35964099999998,Nyu-taunkita.160170.1
29,184,Bushi01,SeibuBus,2019-09-05T08:42:49+09:00,Nyu-taunkita.160170.1,35.857205,139.357384,Seibubushinyu-taun.160171.15
30,184,Bushi01,SeibuBus,2019-09-05T08:43:24+09:00,Nyu-taunkita.160170.1,35.858403,139.35561299999998,Seibubushinyu-taun.160171.15
31,184,Bushi01,SeibuBus,2019-09-05T08:43:59+09:00,None,35.85859400000001,139.355439,Seibubushinyu-taun.160171.1
32,184,Bushi01,SeibuBus,2019-09-05T08:44:24+09:00,None,35.85859400000001,139.355439,Seibubushinyu-taun.160171.1
33,184,Bushi01,SeibuBus,2019-09-05T08:44:49+09:00,None,35.858576,139.355439,Seibubushinyu-taun.160171.1
34,184,Bushi01,SeibuBus,2019-09-05T08:45:14+09:00,None,35.858576,139.355439,Seibubushinyu-taun.160171.1
35,184,Bushi01,SeibuBus,2019-09-05T08:45:39+09:00,None,35.85859400000001,139.355439,Seibubushinyu-taun.160171.1
